Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured
1978561,15-Apr-21,District of Columbia,Washington,1800 block of West Virginia Ave NE,0,4
1978635,15-Apr-21,Indiana,Indianapolis,8951 Mirabel Rd,8,5
1978652,15-Apr-21,Illinois,Chicago,600 block of N Sawyer Ave,0,4
1978616,15-Apr-21,Florida,Pensacola,700 Truman Ave,0,6
1976538,13-Apr-21,Maryland,Baltimore,2300 block of Hoffman St,0,4
1975296,12-Apr-21,Illinois,Chicago,I-290 and S Damen Ave,1,3
1974943,11-Apr-21,Kansas,Wichita,200 block of N Battin St,1,3
1975004,11-Apr-21,Washington,Seattle,306 23rd Ave S,0,4
1974088,10-Apr-21,Tennessee,Memphis,4315 S 3rd St,1,3
1973692,10-Apr-21,Missouri,Koshkonong,US-63 and MO-F,1,3
1975405,10-Apr-21,Connecticut,Waterbury,36 Gasparri Ln,0,4
1973809,10-Apr-21,Michigan,Allendale,4926 Becker Dr,0,4
1973844,9-Apr-21,Texas,Fort Worth,2000 block of SW Loop 820,1,5
1972187,8-Apr-21,Texas,Bryan,350 Stone City Dr,1,5
1971410,7-Apr-21,South Carolina,Rock Hill,4456 Marshall Rd,7,0
1970937,7-Apr-21,Wisconsin,Milwaukee,2627 W Capitol Dr,2,3
1973435,7-Apr-21,Ohio,Dayton,Hoover Ave and Summit Square,0,4
1969899,6-Apr-21,District of Columbia,Washington,4100 block of Ames St NE,0,4
1970245,6-Apr-21,Michigan,Detroit,6100 block of Lodewyck St,1,3
1970378,5-Apr-21,Illinois,Chicago,6800 block of S Justine Ave,0,7
1969065,5-Apr-21,Maryland,Baltimore,300 block of N Eutaw St,0,5
1969505,4-Apr-21,Louisiana,Monroe,207 Sterlington Rd,0,6
1968887,4-Apr-21,Alabama,Birmingham,3969 14th Ave N,1,5
1969633,4-Apr-21,Texas,Beaumont,6035 S M L King Jr Pkwy,0,4
1967914,3-Apr-21,North Carolina,Wilmington,718 Kidder St,3,4
1967893,3-Apr-21,Alabama,Tuscaloosa,2314 4th St,0,5
1969221,3-Apr-21,Texas,Allen,1517 Pine Bluff Dr,6,0
