CountyId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific
1001,Alabama,Autauga County,55036,26899,28137,2.7,75.4,18.9,0.3,0.9,0
1003,Alabama,Baldwin County,203360,99527,103833,4.4,83.1,9.5,0.8,0.7,0
1005,Alabama,Barbour County,26201,13976,12225,4.2,45.7,47.8,0.2,0.6,0
1007,Alabama,Bibb County,22580,12251,10329,2.4,74.6,22,0.4,0,0
1009,Alabama,Blount County,57667,28490,29177,9,87.4,1.5,0.3,0.1,0
1011,Alabama,Bullock County,10478,5616,4862,0.3,21.6,75.6,1,0.7,0
1013,Alabama,Butler County,20126,9416,10710,0.3,52.2,44.7,0.1,1.1,0
1015,Alabama,Calhoun County,115527,55593,59934,3.6,72.7,20.4,0.2,1,0
1017,Alabama,Chambers County,33895,16320,17575,2.2,56.2,39.3,0.3,1,0
1019,Alabama,Cherokee County,25855,12862,12993,1.6,91.8,5,0.5,0.1,0
1021,Alabama,Chilton County,43805,21554,22251,7.7,80.4,9.5,0.4,0.4,0
1023,Alabama,Choctaw County,13188,6277,6911,0.5,56.3,42.1,0,0.1,0
1025,Alabama,Clarke County,24625,11649,12976,0.2,53,45.7,0.1,0.5,0.1
1027,Alabama,Clay County,13407,6471,6936,3.1,80.2,14.7,0.9,0,0
1029,Alabama,Cleburne County,14939,7367,7572,2.4,92.7,2.8,0.3,0.5,0
1031,Alabama,Coffee County,51073,25225,25848,6.7,71,17.1,1,1.3,0
1033,Alabama,Colbert County,54435,26143,28292,2.4,78.8,15.9,0.7,0.5,0
1035,Alabama,Conecuh County,12649,6040,6609,1.8,50.3,46.3,0.2,0,0
1037,Alabama,Coosa County,10955,5474,5481,0.1,65.3,33.2,0.1,0,0
1039,Alabama,Covington County,37519,18133,19386,1.6,83.5,13,0.3,0.4,0
1041,Alabama,Crenshaw County,13866,6786,7080,1.8,71.2,23.1,0.8,1.4,0
1043,Alabama,Cullman County,81703,40223,41480,4.2,92.3,1.1,0.4,0.6,0
1045,Alabama,Dale County,49393,24524,24869,6.1,69.5,19.2,0.5,0.9,0
1047,Alabama,Dallas County,40755,18809,21946,1,27.7,70.2,0,0.4,0
1049,Alabama,DeKalb County,71194,35328,35866,14.3,80.8,1.4,1.2,0.3,0.1
1051,Alabama,Elmore County,80989,39357,41632,2.9,73.4,21.2,0.3,0.6,0
1053,Alabama,Escambia County,37621,19326,18295,2.2,60.2,32.2,3.6,0.4,0.1
1055,Alabama,Etowah County,103132,49738,53394,3.7,78.3,15.4,0.5,0.7,0.1
1057,Alabama,Fayette County,16657,8191,8466,1.7,85,11.5,0,0.5,0
1059,Alabama,Franklin County,31507,15818,15689,16.3,77.7,4.7,0.2,0.4,0.1
1061,Alabama,Geneva County,26572,13008,13564,3.8,84,9.2,0.6,0.4,0
1063,Alabama,Greene County,8533,4058,4475,1.2,17.1,80.3,0.6,0,0
1065,Alabama,Hale County,14995,7049,7946,1.3,39.5,58.7,0.2,0.2,0
1067,Alabama,Henry County,17110,8208,8902,2.5,68.7,27.8,0,0,0
1069,Alabama,Houston County,104108,49905,54203,3.2,67.2,26.5,0.3,0.8,0
1071,Alabama,Jackson County,52326,25712,26614,2.9,89.3,3.2,1,0.5,0.1
1073,Alabama,Jefferson County,659460,312333,347127,3.7,50.4,42.4,0.2,1.5,0
1075,Alabama,Lamar County,14021,6875,7146,1.5,86,10.8,0.3,0,0
1077,Alabama,Lauderdale County,92590,44263,48327,2.5,84.9,9.8,0.4,0.7,0
1079,Alabama,Lawrence County,33288,16164,17124,2.1,76.6,11.4,5.2,0.1,0
1081,Alabama,Lee County,156597,77172,79425,3.7,67.6,22.9,0.1,3.8,0
1083,Alabama,Limestone County,91695,45889,45806,5.8,77.2,13.1,0.7,1.2,0
1085,Alabama,Lowndes County,10362,4896,5466,0.7,24.3,74.4,0.1,0,0
1087,Alabama,Macon County,19358,8933,10425,1.6,15.5,81.5,0.2,0.2,0
1089,Alabama,Madison County,353213,172568,180645,4.7,65.1,24,0.6,2.5,0.1
1091,Alabama,Marengo County,19743,9235,10508,0.4,45.1,54.1,0.1,0,0
1093,Alabama,Marion County,30058,14880,15178,2.5,91.9,3.2,0.4,0.3,0
1095,Alabama,Marshall County,94738,46771,47967,13.3,81.8,2.2,0.5,0.6,0.1
1097,Alabama,Mobile County,414328,197968,216360,2.8,57.5,35.2,0.6,1.9,0
1099,Alabama,Monroe County,21745,10355,11390,1.3,54.5,40.8,1.3,0.5,0
1101,Alabama,Montgomery County,227120,107470,119650,3.4,35.2,57.1,0.1,2.4,0
1103,Alabama,Morgan County,119157,58761,60396,8,76.4,12.3,0.5,0.7,0
1105,Alabama,Perry County,9680,4630,5050,0.7,29.4,69.6,0.1,0.2,0
1107,Alabama,Pickens County,20170,9601,10569,4.1,54.1,40.5,0.1,0.1,0
1109,Alabama,Pike County,33287,15897,17390,0.8,56.4,37.9,0.6,2.2,0
1111,Alabama,Randolph County,22530,10998,11532,3,75.3,19.4,0.2,0.2,0.2
1113,Alabama,Russell County,58480,28424,30056,5.2,47.8,42.4,0.4,0.7,0.2
1115,Alabama,St. Clair County,86937,43469,43468,2.3,86.2,9.3,0.2,0.8,0
1117,Alabama,Shelby County,208721,101420,107301,5.8,78.5,11.7,0.2,1.9,0
1119,Alabama,Sumter County,13084,6033,7051,0.3,24.6,70.7,0.5,3,0
1121,Alabama,Talladega County,80888,39140,41748,2.2,63.1,32.1,0.3,0.6,0
1123,Alabama,Tallapoosa County,40756,19616,21140,2.4,68.9,27.2,0.4,0.4,0
1125,Alabama,Tuscaloosa County,204424,98725,105699,3.5,62.4,31.2,0.1,1.5,0
1127,Alabama,Walker County,64927,31709,33218,2.4,89.4,6,0.1,0.5,0
1129,Alabama,Washington County,16746,8342,8404,0.5,65.1,24.6,7.5,0.9,0
1131,Alabama,Wilcox County,10919,5096,5823,0.5,26.9,72.1,0.1,0,0
1133,Alabama,Winston County,23968,11850,12118,3,94.1,0.5,0.3,0.3,0
2013,Alaska,Aleutians East Borough,3338,2049,1289,9.7,15.5,4.8,37.4,26.1,1.4
2016,Alaska,Aleutians West Census Area,5784,3539,2245,13.5,24.8,5,11.5,37.7,2.6
