bite_date,SpeciesIDDesc,GenderIDDesc,color,vaccination_yrs,vaccination_date,victim_zip,AdvIssuedYNDesc,WhereBittenIDDesc,quarantine_date,DispositionIDDesc,ResultsIDDesc
1985/5/5 0:00,DOG,FEMALE,LIG. BROWN,1,1985/6/20 0:00,40229,NO,BODY,1985/5/5 0:00,UNKNOWN,UNKNOWN
1986/2/12 0:00,DOG,UNKNOWN,BRO & BLA,,,40218,NO,BODY,1986/2/12 0:00,UNKNOWN,UNKNOWN
1987/5/7 0:00,DOG,UNKNOWN,,,,40219,NO,BODY,1990/5/7 0:00,UNKNOWN,UNKNOWN
1988/10/2 0:00,DOG,MALE,BLA & BRO,,,,NO,BODY,1990/10/2 0:00,UNKNOWN,UNKNOWN
1989/8/29 0:00,DOG,FEMALE,BLK-WHT,,,,NO,BODY,,UNKNOWN,UNKNOWN
1989/11/24 0:00,DOG,UNKNOWN,,,,40211,NO,BODY,,UNKNOWN,UNKNOWN
1990/2/8 0:00,DOG,FEMALE,BLACK/WHIT,1,1990/2/13 0:00,40203,NO,BODY,1990/2/12 0:00,UNKNOWN,UNKNOWN
1990/2/22 0:00,DOG,MALE,BLK-WHT,,,,NO,BODY,1990/2/23 0:00,RELEASED,UNKNOWN
1990/8/2 0:00,DOG,MALE,BROWN,,,,NO,BODY,1990/8/2 0:00,UNKNOWN,UNKNOWN
1990/8/19 0:00,DOG,UNKNOWN,BRN-TAN,,,,NO,BODY,1990/8/20 0:00,RELEASED,UNKNOWN
1990/8/31 0:00,DOG,MALE,TRI,,,,NO,HEAD,1990/9/4 0:00,RELEASED,UNKNOWN
1990/10/20 0:00,DOG,MALE,BLK,,,,NO,BODY,1990/10/22 0:00,RELEASED,UNKNOWN
1991/2/9 0:00,DOG,MALE,BLK-BRN,,,,NO,BODY,1991/2/13 0:00,RELEASED,UNKNOWN
1991/7/5 0:00,DOG,MALE,BLK-BRN,,,,YES,BODY,1991/7/9 0:00,RELEASED,UNKNOWN
1991/9/14 0:00,DOG,MALE,WHT,,,,NO,BODY,1991/9/19 0:00,RELEASED,UNKNOWN
1991/10/9 0:00,DOG,FEMALE,WHT-BRN,,,,NO,HEAD,1991/10/11 0:00,RELEASED,UNKNOWN
1991/11/7 0:00,DOG,UNKNOWN,,,,,NO,BODY,1991/11/14 0:00,RELEASED,UNKNOWN
1992/2/8 0:00,DOG,MALE,BLK,,,,NO,BODY,1992/2/12 0:00,UNKNOWN,UNKNOWN
1992/2/27 0:00,DOG,MALE,BLK-TAN,,,,NO,BODY,1992/3/2 0:00,RELEASED,UNKNOWN
1992/3/6 0:00,DOG,MALE,WHT,,,,NO,BODY,1992/3/11 0:00,RELEASED,UNKNOWN
1992/3/18 0:00,CAT,UNKNOWN,,,,,NO,HEAD,1992/3/24 0:00,RELEASED,UNKNOWN
1992/4/6 0:00,DOG,UNKNOWN,BLK,,,,NO,BODY,1992/4/8 0:00,RELEASED,UNKNOWN
1992/5/6 0:00,DOG,UNKNOWN,BLK,,,,NO,BODY,1992/5/9 0:00,RELEASED,UNKNOWN
1992/6/4 0:00,DOG,MALE,BRN,,,,NO,BODY,1992/6/10 0:00,RELEASED,UNKNOWN
1992/6/29 0:00,DOG,FEMALE,RED,,,,NO,BODY,1992/6/30 0:00,RELEASED,UNKNOWN
1992/8/6 0:00,DOG,UNKNOWN,WHITE,,,40215,NO,BODY,1992/8/6 0:00,RELEASED,UNKNOWN
1992/8/26 0:00,DOG,MALE,BRN-BLK,,,40210,NO,BODY,1992/8/31 0:00,RELEASED,UNKNOWN
1993/4/4 0:00,DOG,UNKNOWN,,,,,NO,BODY,1993/4/5 0:00,RELEASED,UNKNOWN
1993/4/6 0:00,CAT,UNKNOWN,,,,,NO,BODY,1993/4/19 0:00,RELEASED,UNKNOWN
1993/5/12 0:00,DOG,MALE,BRN,,,,NO,HEAD,1993/5/14 0:00,RELEASED,UNKNOWN
1993/6/20 0:00,DOG,UNKNOWN,,,,,NO,BODY,1993/6/21 0:00,RELEASED,UNKNOWN
1993/7/9 0:00,DOG,FEMALE,BRN,,,,YES,BODY,1993/7/9 0:00,RELEASED,UNKNOWN
1993/12/4 0:00,DOG,UNKNOWN,,,,,NO,BODY,1993/12/6 0:00,RELEASED,UNKNOWN
1994/3/31 0:00,DOG,MALE,BRN-BLK,,,,NO,BODY,1994/4/6 0:00,RELEASED,UNKNOWN
1994/4/11 0:00,DOG,MALE,BLK,,,,NO,BODY,1994/4/13 0:00,RELEASED,UNKNOWN
