Class,Order,Family,Genus,Species,Common name,Gestation/Incubation (days),Maximum longevity (yrs),Data quality
Amphibia,Anura,Bufonidae,Anaxyrus,americanus,American toad,8,36,acceptable
Amphibia,Anura,Bufonidae,Anaxyrus,boreas,Western toad,6,11.5,acceptable
Amphibia,Anura,Bufonidae,Anaxyrus,canorus,Yosemite toad,11,15,acceptable
Amphibia,Anura,Bufonidae,Anaxyrus,retiformis,Sonoran green toad,2,15.3,acceptable
Amphibia,Anura,Bufonidae,Anaxyrus,terrestris,Southern toad,3,10,acceptable
Amphibia,Anura,Bufonidae,Rhinella,marina,Cane toad,2,24.8,acceptable
Amphibia,Anura,Dendrobatidae,Dendrobates,auratus,Green and black dart-poison frog,12,20.5,acceptable
Amphibia,Anura,Dendrobatidae,Dendrobates,leucomelas,Yellow-banded poison frog,12,11.5,acceptable
Amphibia,Anura,Hylidae,Hyla,chrysoscelis,Cope's gray treefrog,21,7.8,acceptable
Amphibia,Anura,Hylidae,Hyla,squirella,Squirrel treefrog,1,8.5,acceptable
Amphibia,Anura,Hylidae,Hyla,versicolor,Gray treefrog,4,7.8,acceptable
Amphibia,Anura,Hylidae,Osteopilus,septentrionalis,Cuban treefrog,1,12.9,acceptable
Amphibia,Anura,Leiopelmatidae,Ascaphus,truei,Coastal tailed frog,32,14,acceptable
Amphibia,Anura,Mantellidae,Mantella,aurantiaca,Golden mantella,14,10.9,acceptable
Amphibia,Anura,Microhylidae,Gastrophryne,carolinensis,Eastern narrow-mouthed toad,1,6.8,acceptable
Amphibia,Anura,Pelobatidae,Pelobates,fuscus,Common Eurasian spadefoot toad,8,11,acceptable
Amphibia,Anura,Pipidae,Xenopus,laevis,African clawed frog,2,30.3,acceptable
Amphibia,Anura,Ranidae,Lithobates,catesbeianus,American bullfrog,4,16,acceptable
Amphibia,Anura,Ranidae,Pelophylax,perezi,Italian green frog,6,6.8,acceptable
Amphibia,Anura,Scaphiopodidae,Scaphiopus,holbrookii,Eastern spadefoot,8,12.3,acceptable
Amphibia,Anura,Scaphiopodidae,Spea,intermontana,Great Basin spadefoot,3,20,acceptable
Amphibia,Caudata,Ambystomatidae,Ambystoma,macrodactylum,Long-toed salamander,40,10,acceptable
Amphibia,Caudata,Ambystomatidae,Ambystoma,mexicanum,Axolotl,18,17,acceptable
Amphibia,Caudata,Ambystomatidae,Ambystoma,texanum,Small-mouthed salamander,35,13.8,acceptable
Amphibia,Caudata,Ambystomatidae,Ambystoma,tigrinum,Tiger salamander,28,25,acceptable
Amphibia,Caudata,Ambystomatidae,Dicamptodon,ensatus,California giant salamander,150,16.9,acceptable
Amphibia,Caudata,Amphiumidae,Amphiuma,means,Two-toed amphiuma,150,27,acceptable
Amphibia,Caudata,Amphiumidae,Amphiuma,tridactylum,Three-toed amphiuma,135,15.9,acceptable
Amphibia,Caudata,Cryptobranchidae,Andrias,japonicus,Japanese giant salamander,60,55,acceptable
Amphibia,Caudata,Cryptobranchidae,Cryptobranchus,alleganiensis,Hellbender,72,29,acceptable
Amphibia,Caudata,Hynobiidae,Salamandrella,keyserlingii,Siberian salamander,23,8,acceptable
Amphibia,Caudata,Plethodontidae,Desmognathus,monticola,Seal salamander,45,17.7,acceptable
Amphibia,Caudata,Plethodontidae,Eurycea,lucifuga,Cave salamander,13,9.1,acceptable
Amphibia,Caudata,Plethodontidae,Plethodon,dunni,Dunn's salamander,70,11,acceptable
Amphibia,Caudata,Plethodontidae,Pseudotriton,ruber,Red salamander,75,20.1,acceptable
Amphibia,Caudata,Plethodontidae,Speleomantes,italicus,Italian cave salamander,304,10.6,acceptable
Amphibia,Caudata,Proteidae,Necturus,maculosus,Mudpuppy,50,34,acceptable
Amphibia,Caudata,Proteidae,Proteus,anguinus,Olm,133,102,acceptable
Amphibia,Caudata,Salamandridae,Cynops,pyrrhogaster,Japanese firebelly newt,20,25,acceptable
Amphibia,Caudata,Salamandridae,Pleurodeles,waltl,Iberian ribbed newt,13,19.5,acceptable
Amphibia,Caudata,Salamandridae,Taricha,torosa,California newt,45,21.8,acceptable
Amphibia,Caudata,Salamandridae,Triturus,cristatus,Northern crested newt,16,28,acceptable
Amphibia,Caudata,Sirenidae,Siren,intermedia,Lesser siren,60,25.7,acceptable
Aves,Accipitriformes,Accipitridae,Accipiter,cooperii,Cooper's hawk,24,20.3,acceptable
Aves,Accipitriformes,Accipitridae,Accipiter,gentilis,Northern goshawk,33,22,acceptable
Aves,Accipitriformes,Accipitridae,Accipiter,striatus,Sharp-shinned hawk,34,19.9,acceptable
Aves,Accipitriformes,Accipitridae,Aquila,chrysaetos,Golden eagle,40,48,acceptable
Aves,Accipitriformes,Accipitridae,Buteo,jamaicensis,Red-tailed hawk,31,30.7,acceptable
Aves,Accipitriformes,Accipitridae,Buteo,lagopus,Rough-legged hawk,29,18.8,acceptable
Aves,Accipitriformes,Accipitridae,Buteo,lineatus,Red-shouldered hawk,33,22.4,acceptable
Aves,Accipitriformes,Accipitridae,Buteo,platypterus,Broad-winged hawk,25,18.3,acceptable
Aves,Accipitriformes,Accipitridae,Buteo,regalis,Ferruginous hawk,32,23.7,acceptable
Aves,Accipitriformes,Accipitridae,Buteo,solitarius,Hawaiian hawk,38,17,acceptable
Aves,Accipitriformes,Accipitridae,Buteo,swainsoni,Swainson's hawk,31,24.9,acceptable
Aves,Accipitriformes,Accipitridae,Buteogallus,anthracinus,Common black hawk,38,13.5,acceptable
Aves,Accipitriformes,Accipitridae,Circus,cyaneus,Northern harrier,31,17.1,acceptable
Aves,Accipitriformes,Accipitridae,Elanus,leucurus,White-tailed kite,30,6,acceptable
Aves,Accipitriformes,Accipitridae,Haliaeetus,albicilla,White-tailed sea-eagle,41,42,acceptable
Aves,Accipitriformes,Accipitridae,Haliaeetus,leucocephalus,Bald eagle,35,48,acceptable
Aves,Accipitriformes,Accipitridae,Ictinia,mississippiensis,Mississippi kite,31,11.2,acceptable
Aves,Accipitriformes,Accipitridae,Parabuteo,unicinctus,Harris's hawk,34,25,acceptable
Aves,Accipitriformes,Accipitridae,Pithecophaga,jefferyi,Philippine eagle,63,41,acceptable
Aves,Accipitriformes,Accipitridae,Rostrhamus,sociabilis,Snail kite,30,17,acceptable
Aves,Accipitriformes,Cathartidae,Cathartes,aura,Turkey vulture,39,20.8,acceptable
Aves,Accipitriformes,Cathartidae,Coragyps,atratus,Black vulture,35,25.5,acceptable
Aves,Accipitriformes,Cathartidae,Gymnogyps,californianus,California condor,57,45,acceptable
Aves,Accipitriformes,Cathartidae,Sarcoramphus,papa,King vulture,57,40,acceptable
Aves,Accipitriformes,Cathartidae,Vultur,gryphus,Andean condor,56,79,acceptable
Aves,Accipitriformes,Pandionidae,Pandion,haliaetus,Osprey,38,32,acceptable
Aves,Anseriformes,Anatidae,Aix,sponsa,Wood duck,31,22.5,acceptable
Aves,Anseriformes,Anatidae,Alopochen,aegyptiaca,Egyptian goose,29,25.5,acceptable
Aves,Anseriformes,Anatidae,Anas,acuta,Northern pintail,22,27.4,acceptable
Aves,Anseriformes,Anatidae,Anas,americana,American wigeon,23,21.3,acceptable
Aves,Anseriformes,Anatidae,Anas,clypeata,Northern shoveler,23,22.6,acceptable
Aves,Anseriformes,Anatidae,Anas,crecca,Green-winged teal,22,27.1,acceptable
Aves,Anseriformes,Anatidae,Anas,cyanoptera,Cinnamon teal,23,12.9,acceptable
Aves,Anseriformes,Anatidae,Anas,discors,Blue-winged teal,24,23.2,acceptable
Aves,Anseriformes,Anatidae,Anas,fulvigula,Mottled duck,26,20,acceptable
Aves,Anseriformes,Anatidae,Anas,laysanensis,Laysan duck,28,12,acceptable
Aves,Anseriformes,Anatidae,Anas,penelope,Eurasian wigeon,24,35.2,acceptable
Aves,Anseriformes,Anatidae,Anas,platyrhynchos,Mallard,26,29.1,acceptable
Aves,Anseriformes,Anatidae,Anas,rubripes,American black duck,28,26.6,acceptable
Aves,Anseriformes,Anatidae,Anas,strepera,Gadwall,26,28,acceptable
