Movie,Studio,Type,Worldwide $m,Domestic $m,Overseas $m,Year
Avatar,Fox,Drama,2727.3,749.3,1978.0,2009
Titanic,Par.,Drama,1843.2,600.8,1242.4,1997
The Lord of the Rings: The Return of the King,NL,Drama,1119.1,377.0,742.1,2003
Pirates of the Caribbean: Dead Man's Chest,BV,Drama,1066.2,423.3,642.9,2006
Alice in Wonderland (2010),BV,Comedy,1017.2,333.9,683.3,2010
The Dark Knight,WB,Action,1001.9,533.3,468.6,2008
Harry Potter and the Sorcerer's Stone,WB,Family,974.7,317.6,657.2,2001
Pirates of the Caribbean: At World's End,BV,Action,961.0,309.4,651.6,2007
Harry Potter and the Order of the Phoenix,WB,Family,938.2,292.0,646.2,2007
Harry Potter and the Half-Blood Prince,WB,Family,934.0,302.0,632.0,2009
The Lord of the Rings: The Two Towers,NL,Drama,925.3,341.8,583.5,2002
Star Wars: Episode I - The Phantom Menace,Fox,Action,924.3,431.1,493.2,1999
Shrek 2,DW,Family,919.8,441.2,478.6,2004
Jurassic Park,Uni.,Action,914.7,357.1,557.6,1993
Harry Potter and the Goblet of Fire,WB,Family,895.9,290.0,605.9,2005
Spider-Man 3,Sony,Action,890.9,336.5,554.3,2007
Ice Age: Dawn of the Dinosaurs,Fox,Family,884.8,196.6,688.2,2009
Harry Potter and the Chamber of Secrets,WB,Family,878.6,262.0,616.7,2002
The Lord of the Rings: The Fellowship of the Ring,NL,Drama,870.8,314.8,556.0,2001
Finding Nemo,BV,Family,867.9,339.7,528.2,2003
Star Wars: Episode III - Revenge of the Sith,Fox,Action,848.8,380.3,468.5,2005
Transformers: Revenge of the Fallen,P/DW,Action,836.3,402.1,434.2,2009
Spider-Man,Sony,Action,821.7,403.7,418.0,2002
Independence Day,Fox,Action,817.4,306.2,511.2,1996
Shrek the Third,P/DW,Family,799.0,322.7,476.2,2007
Harry Potter and the Prisoner of Azkaban,WB,Family,795.6,249.5,546.1,2004
Indiana Jones and the Kingdom of the Crystal Skull,Par.,Action,786.6,317.1,469.5,2008
The Lion King,BV,Family,783.8,328.5,455.3,1994
Spider-Man 2,Sony,Action,783.8,373.6,410.2,2004
Star Wars,Fox,Action,775.4,461.0,314.4,1977
