Country,Year,City,Gold ,Silver,Bronze,Weighted Count, Population ,"Total medals per 100,000 pop","Weighted count per 100,000 pop","Gold per 100,000 pop",GDP per capita,GDP
Bohemia,1/01/1900,Paris,0,1,1,3,-,-,-,-,-, - 
Hungary,1/01/1900,Paris,1,2,2,9,-,-,-,-,3206.12, - 
India,1/01/1900,Paris,0,2,0,4,-,-,-,-,603.79, - 
Mixed teams,1/01/1900,Paris,6,3,3,27,-,-,-,-,-, - 
Switzerland,1/01/1900,Paris,6,2,1,23,3341000,0.2693804,0.6884166,0.1795870,5864.60," 19,593,626,082 "
France,1/01/1900,Paris,26,41,34,194,40640000,0.2485236,0.4773622,0.0639764,4120.20," 167,444,795,110 "
Belgium,1/01/1900,Paris,5,5,5,30,6801000,0.2205558,0.4411116,0.0735186,4456.85," 30,311,060,537 "
Denmark,1/01/1900,Paris,1,3,2,11,2594000,0.2313030,0.4240555,0.0385505,3658.24," 9,489,467,268 "
Norway,1/01/1900,Paris,0,2,3,7,2255000,0.2217295,0.3104213,0.0000000,2668.08," 6,016,525,961 "
Cuba,1/01/1900,Paris,1,1,0,5,1716000,0.1165501,0.2913753,0.0582751,-, - 
Australia,1/01/1900,Paris,2,0,3,9,3795000,0.1317523,0.2371542,0.0527009,5431.85," 20,613,862,653 "
Britain,1/01/1900,Paris,15,6,9,66,38373808,0.0781783,0.1719923,0.0390892,6321.80," 242,591,461,407 "
Austria,1/01/1900,Paris,0,3,3,9,6035000,0.0994200,0.1491301,0.0000000,4362.27," 26,326,313,983 "
United States,1/01/1900,Paris,19,14,14,99,77888000,0.0603431,0.1271056,0.0243940,6624.30," 515,953,845,173 "
Netherlands,1/01/1900,Paris,0,1,3,5,5221000,0.0766137,0.0957671,0.0000000,3713.31," 19,387,183,357 "
Canada,1/01/1900,Paris,1,0,1,4,5536000,0.0361272,0.0722543,0.0180636,4224.78," 23,388,369,515 "
Germany,1/01/1900,Paris,4,2,2,18,55214000,0.0144891,0.0326004,0.0072445,4683.80," 258,611,144,941 "
Italy,1/01/1900,Paris,2,2,0,10,33877000,0.0118074,0.0295186,0.0059037,2127.22," 72,063,670,596 "
Sweden,1/01/1900,Paris,0,0,1,1,5136472,0.0194686,0.0194686,0.0000000,2897.43," 14,882,576,782 "
Spain,1/01/1900,Paris,1,0,0,3,18659000,0.0053593,0.0160780,0.0053593,2676.85," 49,947,362,066 "
Mexico,1/01/1900,Paris,0,0,1,1,13755000,0.0072701,0.0072701,0.0000000,1709.31," 23,511,589,961 "
Hungary,1/01/1904,St. Louis,2,1,1,9,-,-,-,-,-, - 
Mixed teams,1/01/1904,St. Louis,1,1,0,5,-,-,-,-,-, - 
Cuba,1/01/1904,St. Louis,4,2,3,19,1879000,0.4789782,1.0111762,0.2128792,-, - 
United States,1/01/1904,St. Louis,78,82,79,477,82485000,0.2897497,0.5782870,0.0945626,7494.66," 618,197,131,905 "
Canada,1/01/1904,St. Louis,4,1,1,15,5994000,0.1001001,0.2502503,0.0667334,4759.25," 28,526,915,599 "
Switzerland,1/01/1904,St. Louis,1,0,1,4,3472000,0.0576037,0.1152074,0.0288018,5827.02," 20,231,406,929 "
Greece,1/01/1904,St. Louis,1,0,1,4,5102000,0.0392003,0.0784006,0.0196002,2138.08," 10,908,469,058 "
Germany,1/01/1904,St. Louis,4,4,5,25,57806000,0.0224890,0.0432481,0.0069197,4838.51," 279,695,159,426 "
Austria,1/01/1904,St. Louis,0,0,1,1,6228000,0.0160565,0.0160565,0.0000000,4513.37," 28,109,286,285 "
Britain,1/01/1904,St. Louis,1,1,0,5,39474558,0.0050666,0.0126664,0.0025333,6231.91," 246,001,762,606 "
Bohemia,1/01/1908,London,0,0,2,2,-,-,-,-,-, - 
Hungary,1/01/1908,London,3,4,2,19,-,-,-,-,-, - 
Russia,1/01/1908,London,1,2,0,7,-,-,-,-,-, - 
South Africa,1/01/1908,London,1,1,0,5,-,-,-,-,-, - 
Sweden,1/01/1908,London,8,6,11,47,5402275,0.4627680,0.8700038,0.1480858,3423.38," 18,494,056,947 "
Britain,1/01/1908,London,56,51,38,308,41003923,0.3536247,0.7511476,0.1365723,6261.81," 256,758,807,117 "
Norway,1/01/1908,London,2,3,3,15,2346000,0.3410060,0.6393862,0.0852515,3014.14," 7,071,164,120 "
Canada,1/01/1908,London,3,3,10,25,6813000,0.2348451,0.3669455,0.0440335,5183.71," 35,316,625,529 "
Finland,1/01/1908,London,1,1,3,8,2861000,0.1747641,0.2796225,0.0349528,2513.65," 7,191,561,654 "
Denmark,1/01/1908,London,0,2,3,7,2809000,0.1779993,0.2491990,0.0000000,4353.49," 12,228,942,024 "
Australasia,1/01/1908,London,1,2,2,9,4197000,0.1191327,0.2144389,0.0238265,6351.85," 26,658,700,738 "
Belgium,1/01/1908,London,1,5,2,15,7411000,0.1079476,0.2024018,0.0134935,4700.77," 34,837,408,370 "
United States,1/01/1908,London,23,12,12,105,89055000,0.0527764,0.1179047,0.0258267,7339.85," 653,650,518,741 "
Greece,1/01/1908,London,0,3,0,6,5246000,0.0571864,0.1143729,0.0000000,2248.67," 11,796,544,812 "
France,1/01/1908,London,5,5,9,34,41046000,0.0462895,0.0828339,0.0121815,4497.65," 184,610,681,794 "
Germany,1/01/1908,London,3,5,6,25,61187000,0.0228807,0.0408584,0.0049030,5106.79," 312,469,026,309 "
Netherlands,1/01/1908,London,0,0,2,2,5786000,0.0345662,0.0345662,0.0000000,3838.51," 22,209,613,391 "
Italy,1/01/1908,London,2,2,0,10,35899000,0.0111424,0.0278559,0.0055712,2592.68," 93,074,601,808 "
Austria,1/01/1908,London,0,0,1,1,6485000,0.0154202,0.0154202,0.0000000,5113.09," 33,158,415,407 "
Russia,1/01/1912,Stockholm,0,2,3,7,-,-,-,-,-, - 
South Africa,1/01/1912,Stockholm,4,2,0,16,-,-,-,-,2905.27, - 
Sweden,1/01/1912,Stockholm,24,24,17,137,5573033,1.1663308,2.4582664,0.4306452,3838.09," 21,389,806,836 "
Finland,1/01/1912,Stockholm,9,8,9,52,2998000,0.8672448,1.7344897,0.3002001,2779.55," 8,333,079,377 "
Norway,1/01/1912,Stockholm,4,1,4,18,2423000,0.3714404,0.7428807,0.1650846,3410.16," 8,262,826,401 "
Denmark,1/01/1912,Stockholm,1,6,5,20,2951000,0.4066418,0.6777364,0.0338868,4697.10," 13,861,156,476 "
Australasia,1/01/1912,Stockholm,2,2,3,13,4661000,0.1501824,0.2789101,0.0429092,6900.48," 32,163,139,784 "
Canada,1/01/1912,Stockholm,3,2,3,16,7602000,0.1052355,0.2104709,0.0394633,6352.01," 48,288,011,663 "
Hungary,1/01/1912,Stockholm,3,2,3,16,7840000,0.1020408,0.2040816,0.0382653,3998.03," 31,344,583,926 "
Britain,1/01/1912,Stockholm,10,15,16,76,42318019,0.0968854,0.1795925,0.0236306,6701.70," 283,602,792,665 "
Belgium,1/01/1912,Stockholm,2,1,3,11,7590000,0.0790514,0.1449275,0.0263505,5029.69," 38,175,373,823 "
United States,1/01/1912,Stockholm,25,19,19,132,95703000,0.0658287,0.1379267,0.0261225,8317.33," 795,993,295,469 "
Austria,1/01/1912,Stockholm,0,2,2,6,6724000,0.0594884,0.0892326,0.0000000,5422.19," 36,458,820,218 "
France,1/01/1912,Stockholm,7,4,3,32,41359000,0.0338499,0.0773713,0.0169250,5269.95," 217,959,841,813 "
Germany,1/01/1912,Stockholm,5,13,7,48,64457000,0.0387855,0.0744683,0.0077571,5529.51," 356,415,802,358 "
Greece,1/01/1912,Stockholm,1,0,1,4,5390000,0.0371058,0.0742115,0.0185529,2364.99," 12,747,308,210 "
Netherlands,1/01/1912,Stockholm,0,0,3,3,6068000,0.0494397,0.0494397,0.0000000,4263.10," 25,868,502,509 "
Italy,1/01/1912,Stockholm,3,1,2,13,37150000,0.0161507,0.0349933,0.0080754,2762.33," 102,620,734,668 "
Estonia,1/01/1920,Antwerp,1,2,0,7,-,-,-,-,-, - 
Luxembourg,1/01/1920,Antwerp,0,1,0,2,-,-,-,-,-, - 
South Africa,1/01/1920,Antwerp,3,4,3,20,-,-,-,-,1939.11, - 
Norway,1/01/1920,Antwerp,13,9,9,66,2635000,1.1764706,2.5047438,0.4933586,4045.31," 10,659,381,682 "
Finland,1/01/1920,Antwerp,15,10,9,74,3133000,1.0852218,2.3619534,0.4787743,2536.46," 7,946,719,532 "
Sweden,1/01/1920,Antwerp,19,18,24,117,5851973,1.0423835,1.9993257,0.3246768,4216.61," 24,675,464,919 "
Belgium,1/01/1920,Antwerp,14,11,11,75,7552000,0.4766949,0.9931144,0.1853814,4906.66," 37,055,117,493 "
Denmark,1/01/1920,Antwerp,3,9,1,28,3242000,0.4009870,0.8636644,0.0925355,4970.96," 16,115,853,113 "
Switzerland,1/01/1920,Antwerp,2,2,7,17,3877000,0.2837245,0.4384834,0.0515863,6600.64," 25,590,671,337 "
Netherlands,1/01/1920,Antwerp,4,2,5,21,6848000,0.1606308,0.3066589,0.0584112,4230.58," 28,971,014,824 "
Canada,1/01/1920,Antwerp,3,3,3,18,8798000,0.1022960,0.2045920,0.0340987,5603.71," 49,301,401,204 "
Britain,1/01/1920,Antwerp,15,15,13,88,43718000,0.0983577,0.2012901,0.0343108,6400.75," 279,828,098,458 "
France,1/01/1920,Antwerp,9,19,13,78,39000000,0.1051282,0.2000000,0.0230769,4363.66," 170,182,741,790 "
United States,1/01/1920,Antwerp,41,27,27,204,106881000,0.0888839,0.1908665,0.0383604,8568.17," 915,774,757,688 "
Italy,1/01/1920,Antwerp,13,5,5,54,37398000,0.0615006,0.1443927,0.0347612,3229.38," 120,772,220,199 "
Australia,1/01/1920,Antwerp,0,2,1,5,5358000,0.0559910,0.0933184,0.0000000,6449.93," 34,558,727,960 "
New Zealand,1/01/1920,Antwerp,0,0,1,1,1241000,0.0805802,0.0805802,0.0000000,7638.54," 9,479,424,736 "
