name,sex,age,height,weight,team,year,city,sport,event,medal
Nikolaos Andriakopoulos,M,NA,NA,NA,Greece,1896,Athina,Gymnastics,Gymnastics Men's Rope Climbing,Gold
Conrad Helmut Fritz Bcker,M,25,NA,NA,Germany,1896,Athina,Gymnastics,"Gymnastics Men's Parallel Bars, Teams",Gold
Conrad Helmut Fritz Bcker,M,25,NA,NA,Germany,1896,Athina,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams",Gold
John Mary Pius Boland,M,25,NA,NA,Great Britain,1896,Athina,Tennis,Tennis Men's Singles,Gold
John Mary Pius Boland,M,25,NA,NA,Great Britain/Germany,1896,Athina,Tennis,Tennis Men's Doubles,Gold
Thomas Edmund "Tom" Burke,M,21,183,66,United States,1896,Athina,Athletics,Athletics Men's 100 metres,Gold
Thomas Edmund "Tom" Burke,M,21,183,66,United States,1896,Athina,Athletics,Athletics Men's 400 metres,Gold
Ellery Harding Clark,M,22,180,NA,United States,1896,Athina,Athletics,Athletics Men's High Jump,Gold
Ellery Harding Clark,M,22,180,NA,United States,1896,Athina,Athletics,Athletics Men's Long Jump,Gold
James Brendan Bennet Connolly,M,27,175,72,United States,1896,Athina,Athletics,Athletics Men's Triple Jump,Gold
Thomas Pelham "Tom" Curtis,M,23,176,66,United States,1896,Athina,Athletics,Athletics Men's 110 metres Hurdles,Gold
Launceston Elliot,M,21,188,102,Great Britain,1896,Athina,Weightlifting,"Weightlifting Men's Unlimited, One Hand",Gold
Edwin Harold "Teddy" Flack,M,22,NA,NA,Australia,1896,Athina,Athletics,Athletics Men's 800 metres,Gold
Edwin Harold "Teddy" Flack,M,22,NA,NA,Australia,1896,Athina,Athletics,"Athletics Men's 1,500 metres",Gold
Marie Lon Flameng,M,18,NA,NA,France,1896,Athina,Cycling,Cycling Men's 100 kilometres,Gold
Alfred Flatow,M,26,NA,NA,Germany,1896,Athina,Gymnastics,Gymnastics Men's Parallel Bars,Gold
Alfred Flatow,M,26,NA,NA,Germany,1896,Athina,Gymnastics,"Gymnastics Men's Parallel Bars, Teams",Gold
Alfred Flatow,M,26,NA,NA,Germany,1896,Athina,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams",Gold
Gustav Felix Flatow,M,21,NA,NA,Germany,1896,Athina,Gymnastics,"Gymnastics Men's Parallel Bars, Teams",Gold
Gustav Felix Flatow,M,21,NA,NA,Germany,1896,Athina,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams",Gold
Ioannis Frangoudis,M,NA,NA,NA,Greece,1896,Athina,Shooting,"Shooting Men's Muzzle-Loading Pistol, 25 metres",Gold
Robert "Bob" Garrett,M,20,188,81,United States,1896,Athina,Athletics,Athletics Men's Shot Put,Gold
Robert "Bob" Garrett,M,20,188,81,United States,1896,Athina,Athletics,Athletics Men's Discus Throw,Gold
Ioannis Georgiadis,M,20,NA,NA,Greece,1896,Athina,Fencing,"Fencing Men's Sabre, Individual",Gold
Eugne Henry Gravelotte,M,20,NA,NA,France,1896,Athina,Fencing,"Fencing Men's Foil, Individual",Gold
Alfrd (Arnold-) Hajs (Guttmann-),M,18,NA,NA,Hungary,1896,Athina,Swimming,Swimming Men's 100 metres Freestyle,Gold
Alfrd (Arnold-) Hajs (Guttmann-),M,18,NA,NA,Hungary,1896,Athina,Swimming,"Swimming Men's 1,200 metres Freestyle",Gold
Georg Otto Hilmar,M,19,NA,NA,Germany,1896,Athina,Gymnastics,"Gymnastics Men's Parallel Bars, Teams",Gold
Georg Otto Hilmar,M,19,NA,NA,Germany,1896,Athina,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams",Gold
William Welles "Bill" Hoyt,M,20,NA,NA,United States,1896,Athina,Athletics,Athletics Men's Pole Vault,Gold
Alexander Viggo Jensen,M,21,NA,NA,Denmark,1896,Athina,Weightlifting,"Weightlifting Men's Unlimited, Two Hands",Gold
Pantelis Karasevdas,M,NA,NA,NA,Greece,1896,Athina,Shooting,"Shooting Men's Military Rifle, 200 metres",Gold
Aristidis Konstantinidis,M,NA,NA,NA,Greece,1896,Athina,Cycling,"Cycling Men's Road Race, Individual",Gold
Spyridon "Spyros" Louis,M,23,NA,NA,Greece,1896,Athina,Athletics,Athletics Men's Marathon,Gold
Ioannis Malokinis,M,NA,NA,NA,Greece,1896,Athina,Swimming,Swimming Men's 100 metres Freestyle For Sailors,Gold
Julius Carl Fritz Manteuffel,M,21,NA,62,Germany,1896,Athina,Gymnastics,"Gymnastics Men's Parallel Bars, Teams",Gold
Julius Carl Fritz Manteuffel,M,21,NA,62,Germany,1896,Athina,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams",Gold
Paul Michel Pierre Adrien Masson (-Nossam),M,19,NA,NA,France,1896,Athina,Cycling,Cycling Men's Sprint,Gold
