Rank,Previous Rank,Name,Computer/System Model,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Power (kW),Power Efficiency [GFlops/Watts],Architecture,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,System Family,Continent
1,1,Supercomputer Fugaku,"Supercomputer Fugaku, A64FX 48C 2.2GHz, Tofu interconnect D",Fujitsu,Japan,2020,Research,7630848,,442010,537212,29899.23,14.78332385,MPP,Fujitsu ARM,2200,Red Hat Enterprise Linux,Linux,None,48,Fujitsu Cluster,Asia
2,2,Summit,"IBM Power System AC922, IBM POWER9 22C 3.07GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband",IBM,United States,2018,Research,2414592,2211840,148600,200794.88,10096,14.71870048,Cluster,Power,3070,RHEL 7.4,Linux,NVIDIA Volta GV100,22, IBM Power Systems,North America
3,3,Sierra,"IBM Power System AC922, IBM POWER9 22C 3.1GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband",IBM / NVIDIA / Mellanox,United States,2018,Research,1572480,1382400,94640,125712,7438.28,12.72337153,Cluster,Power,3100,Red Hat Enterprise Linux,Linux,NVIDIA Volta GV100,22, IBM Power Systems,North America
4,4,Sunway TaihuLight,"Sunway MPP, Sunway SW26010 260C 1.45GHz, Sunway",NRCPC,China,2016,Research,10649600,,93014.59388,125435.904,15371,6.051304006,MPP,ShenWei,1450,Sunway RaiseOS 2.0.5,Linux,None,260,Sunway Cluster,Asia
5,5,Perlmutter,"HPE Cray EX235n, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 SXM4 40 GB, Slingshot-10",HPE,United States,2021,Research,761856,663552,70870,93750,2589,27.37350328,MPP,AMD Zen-3 (Milan),2450,HPE Cray OS,Linux,NVIDIA A100 SXM4 40 GB,64,HPE Cray EX,North America
6,6,Selene,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Mellanox HDR Infiniband",Nvidia,United States,2020,Vendor,555520,483840,63460,79215,2646,23.98337113,Cluster,AMD Zen-2 (Rome),2250,Ubuntu 20.04.1 LTS,Linux,NVIDIA A100,64,NVIDIA DGX,North America
7,7,Tianhe-2A,"TH-IVB-FEP Cluster, Intel Xeon E5-2692v2 12C 2.2GHz, TH Express-2, Matrix-2000",NUDT,China,2018,Research,4981760,4554752,61444.5,100678.664,18482,3.32455903,Cluster,Intel IvyBridge,2200,Kylin Linux,Linux,Matrix-2000,12,TH-IVB Cluster,Asia
8,8,JUWELS Booster Module,"Bull Sequana XH2000 , AMD EPYC 7402 24C 2.8GHz, NVIDIA A100, Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite",Atos,Germany,2020,Research,449280,404352,44120,70980,1764.22,25.00821893,Cluster,AMD Zen-2 (Rome),2800,CentOS,Linux,NVIDIA A100,24,BullSequana,Europe
9,9,HPC5,"PowerEdge C4140, Xeon Gold 6252 24C 2.1GHz, NVIDIA Tesla V100, Mellanox HDR Infiniband",DELL EMC,Italy,2020,Industry,669760,582400,35450,51720.76,2252.17,15.74037484,Cluster,Intel Cascade lake,2100,CentOS Linux 7,Linux,NVIDIA Tesla V100,24,Dell PowerEdge Cluster,Europe
10,,Voyager-EUS2,"ND96amsr_A100_v4, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100 80GB​, Mellanox HDR Infiniband",Microsoft Azure,United States,2021,Vendor,253440,228096,30050,39531.15,,,Cluster,AMD Zen-2 (Rome),2450,Ubuntu 18.04 LTS,Linux,NVIDIA A100 80GB​,48,Microsoft Azure Cluster,North America
11,,SSC-21,"Apollo 6500 Gen10 plus, AMD  EPYC 7543 32C 2.8GHz, NVIDIA A100 80GB​, Infiniband HDR200",HPE,South Korea,2021,Industry,204160,190080,25177,31751.1,,,Cluster,AMD Zen-3 (Milan),2800,RHEL 8.3,Linux,NVIDIA A100 80GB​,32,HP Apollo,Asia
12,,Polaris,"Apollo 6500, AMD EPYC 7532 32C 2.4GHz, NVIDIA A100 SXM4 40 GB, Slingshot-10",HPE,United States,2021,Research,259840,241920,23840,34595.64,,,Cluster,AMD Zen-2 (Rome),2400,SLES15 SP2,Linux,NVIDIA A100 SXM4 40 GB,32,HP Apollo,North America
13,10,Frontera,"Dell C6420, Xeon Platinum 8280 28C 2.7GHz, Mellanox InfiniBand HDR",DELL EMC,United States,2019,Academic,448448,,23516.4,38745.907,,,Cluster,Intel Cascade lake,2700,CentOS Linux 7,Linux,None,28,Dell PowerEdge Cluster,North America
14,,CEA-HF,"BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, Atos BXI V2",Atos,France,2021,Research,810240,,23237.6,31761.4,4959.47,4.685500668,Cluster,AMD Zen-3 (Milan),2450,Linux,Linux,None,64,BullSequana,Europe
15,11,Dammam-7,"Cray CS-Storm, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100 SXM2, InfiniBand HDR 100",HPE,Saudi Arabia,2020,Industry,672520,632960,22400,55423.56,,,Cluster,Intel Cascade lake,2500,RHEL 7.7,Linux,NVIDIA Tesla V100 SXM2,20,Cray CS-Storm,Asia
