No,Keyword,Search Volume,CPC,Paid Difficulty,Search Difficulty
1,"google",83100000,"$1.19",1,61
2,"google translate",37200000,"$0.82",1,48
3,"google classroom",24900000,"$0.09",4,49
4,"google maps",24900000,"$0.59",1,48
5,"google docs",20400000,"$0.59",1,48
6,"google drive",11100000,"$0.64",1,48
7,"google flights",9140000,"$0.78",1,48
8,"google news",6120000,"$0.94",1,48
9,"google scholar",4090000,"$3.89",1,48
10,"google slides",4090000,"$0.69",1,48
11,"google earth",3350000,"$0.66",7,50
12,"google calendar",2740000,"$0.57",1,48
13,"google voice",2240000,"$3.34",1,48
14,"google photos",2240000,"$0.47",1,48
15,"google sheets",2240000,"$0.78",1,48
16,"google images",1830000,"$0.71",1,48
17,"google play",1830000,"$0.20",32,57
18,"google doodle",1500000,"$1.80",1,48
19,"for google chrome",1500000,"$0.12",15,47
20,"google chrome",1500000,"$0.26",13,52
21,"google traductor",1000000,"$2.71",1,48
22,"google hangouts",1000000,"$0.53",5,49
23,"google analytics",1000000,"$2.49",2,48
24,"google mail",1000000,"$0.69",1,48
25,"google forms",1000000,"$0.95",3,49
26,"for google account",823000,"$1.38",2,43
27,"google meet",823000,"$0.63",13,52
28,"google account",823000,"$2.26",2,48
29,"google sign in",673000,"$0.36",10,46
30,"google adwords",550000,"$3.93",32,57
31,"google translate spanish to english",550000,"$1.46",1,35
32,"google ads",550000,"$3.93",32,57
33,"google finance",550000,"$2.46",1,48
34,"google duo",450000,"$0.52",7,50
35,"google play music",450000,"$1.17",6,44
36,"google home",450000,"$0.68",99,77
37,"google store",450000,"$0.15",70,69
38,"google fi",450000,"$0.28",28,56
39,"google trends",450000,"$1.79",1,48
40,"google documents",450000,"$0.75",1,48
41,"google pay",368000,"$0.28",22,54
42,"google stock",368000,"$2.00",1,48
43,"google gravity",368000,"$2.65",1,48
44,"google home mini",368000,"$1.44",86,68
45,"google my business",368000,"$2.94",22,49
46,"google reverse image search",368000,"$0.85",1,35
47,"google login",301000,"$0.26",1,48
48,"google calculator",301000,"$0.85",1,48
49,"google pixel 4",301000,"$1.99",78,66
50,"google music",301000,"$1.05",4,49
51,"google directions",301000,"$0.88",1,48
52,"google domains",301000,"$1.76",25,55
53,"google passwords",246000,"$0.20",13,51
54,"google keep",246000,"$0.66",1,48
55,"google games",246000,"$0.61",11,51
56,"google chrome download",246000,"$0.15",14,47
57,"google sites",246000,"$1.07",4,49
58,"google contacts",246000,"$0.56",1,48
59,"google fonts",201000,"$0",1,48
60,"google books",201000,"$0.59",10,51
61,"google history",201000,"$1.88",1,48
62,"google pixel",201000,"$1.81",100,78
63,"google speed test",201000,"$1.08",1,43
64,"google street view",201000,"$0.70",5,44
65,"google assistant",201000,"$1.46",65,67
66,"google wifi",165000,"$0.75",100,78
67,"google weather",165000,"$0.95",3,49
68,"google fiber",165000,"$1.46",12,51
69,"google gmail",165000,"$0.71",1,48
70,"google space",165000,"$2.29",1,48
71,"google jobs",165000,"$0.36",14,52
72,"google feud",165000,"$2.14",1,48
73,"google groups",165000,"$2.03",1,48
74,"google alerts",135000,"$2.10",1,48
75,"google apps",135000,"$0.35",15,52
76,"google nest",135000,"$1.36",100,78
77,"google earth pro",135000,"$0.88",12,46
78,"google cloud",135000,"$6.50",25,55
79,"google chromecast",135000,"$0.48",57,65
80,"google find my phone",135000,"$1.14",34,45
81,"google business",135000,"$3.90",26,55
82,"google lens",135000,"$0.29",10,51
83,"google adsense",110000,"$0.80",13,51
84,"google app store",110000,"$0.20",29,51
85,"google nest hub",110000,"$0.66",92,70
86,"google logo",110000,"$2.24",1,48
87,"google home hub",90500,"$1.59",94,69
88,"google travel",90500,"$1.17",1,46
89,"google plus",90500,"$1.26",1,46
90,"google underwater",90500,"$1.94",1,46
91,"google glass",90500,"$0.71",87,72
92,"google hotels",90500,"$1.45",7,48
93,"google authenticator",74000,"$1.93",10,44
94,"google movies",74000,"$0.19",16,45
95,"google remote desktop",74000,"$6.77",8,38
96,"google extensions",74000,"$0.34",1,41
97,"google timer",74000,"$1.18",1,41
98,"google express",74000,"$0.60",9,43
99,"google dictionary",74000,"$1.87",1,41
100,"google nest mini",74000,"$0.54",83,61
