Region of Citizenship,Name,Net Worth ($M),Rank,Age,Primary Industry,Secondary Industry
France,Jeann.a.Claude Decaux & family,4.9,216,74,Advertising,
France,Elisabeth Badinter,1.1,1075,68,Advertising,
USA,Dean White,1.8,719,88,Advertising,Hotels
China,Liu Yongxing,5.8,173,63,Agriculture,
China,Liu Yonghao & family,3.4,330,60,Agriculture,
Czech Republic,Andrej Babis,1.4,913,57,Agriculture,
Russia,Vadim Moshkovich,1.8,719,44,Agriculture,Development
Ukraine,Yuriy Kosiuk,1.3,960,44,Agriculture,
Ukraine,Andrey Verevskiy,1,1153,37,Agriculture,
USA,Stewart and Lynda Resnick,2,634,0,Agriculture,Water
USA,Steve Case,1.5,854,53,Internet,AOL
China,Gao Dekang & family,1.9,683,60,Retail,Clothing
China,He Xiangjian,6.2,161,69,Manufacturing,Appliances
China,Liang Zhaoxian,1,1153,47,Manufacturing,Appliances
Greece,Philip Niarchos,2.5,491,58,Art,Collection
Monaco,David Nahmad & family,3,377,64,Art,
Switzerland,Esther Grether & family,2,634,76,Art,Collection
England,Nasser Khalili,1,1153,66,Art,Real Estate
Canada,Frank Stronach,1.2,1015,79,Automotive,auto parts
China,Wang Muqing & family,1.6,804,61,Automotive,Distribution
China,Li Guoqiang,1,1153,48,Automotive,Distribution
United Arab Emirates,Abdulla Al Futtaim,1.6,804,0,Automotive,Distribution
France,Serge Dassault & family,9.9,93,86,Aviation,
Brazil,Joseph Safra,13.8,52,73,Banking,
Brazil,Aloysio de Andrade Faria,4.2,255,91,Banking,
Brazil,Ana Lucia de Mattos Barretto Villela,3.6,304,38,Banking,
Brazil,Alfredo Egydio Arruda Villela Filho,3.4,330,42,Banking,
Brazil,Andre Esteves,3,377,43,Banking,
Brazil,Fernando Roberto Moreira Salles,2.7,442,65,Banking,
Brazil,Joao Moreira Salles,2.7,442,50,Banking,
Brazil,Pedro Moreira Salles,2.7,442,52,Banking,
Brazil,Walther Moreira Salles,2.7,442,55,Banking,
Brazil,Moise Safra,2.4,521,77,Banking,
Brazil,Maria de Lourdes Egydio Villela,2.2,578,0,Banking,
Brazil,Lina Maria Aguiar,1.4,913,0,Banking,
Brazil,Julio Bozano,1.3,960,76,Banking,
Colombia,Luis Carlos Sarmiento,12.4,64,79,Banking,
Czech Republic,Petr Kellner,8.2,110,47,Banking,Insurance
Greece,Spiro Latsis & family,2.6,464,65,Banking,Shipping
India,Uday Kotak,4.1,270,53,Banking,
Indonesia,R. Budi Hartono,6.5,146,71,Banking,Tabacco
Malaysia,Teh Hong Piow,5,205,82,Banking,
Morocco,Othman Benjelloun,2.3,546,79,Banking,Insurance
Russia,Alexei Ananyev,1.8,719,47,Banking,Information Technology
Russia,Dmitry Ananyev,1.8,719,43,Banking,Information Technology
Russia,Alexander Svetakov,1.7,764,44,Banking,Real Estate
Russia,Roustam Tariko,1.5,854,50,Banking,
Russia,Roman Avdeev,1.3,960,44,Banking,Development
Russia,Yuri Kovalchuk,1.2,1015,60,Banking,Insurance
Saudi Arabia,Sulaiman Al Rajhi & family,5.9,169,92,Banking,
Saudi Arabia,Abdullah Al Rajhi,2.2,578,0,Banking,
Saudi Arabia,Mohammed Al Rajhi & family,1.5,854,0,Banking,
Singapore,Wee Cho Yaw & family,3.8,290,83,Banking,
Spain,Emilio Botin,1.1,1075,77,Banking,
Turkey,Ferit Faik Sahenk,2.6,464,48,Banking,Media
Turkey,Filiz Sahenk,2.4,521,45,Banking,Media
Turkey,Deniz Sahenk,1.3,960,66,Banking,Media
Turkey,Mehmet Rustu Basaran,1,1153,65,Banking,Energy
Ukraine,Ihor Kolomoyskyy,3,377,49,Banking,Investment
Ukraine,Henadiy Boholyubov,2.8,418,50,Banking,Investment
Ukraine,Kostyantin Zhevago,1.8,719,38,Banking,Mining
United Arab Emirates,Abdul Aziz Al Ghurair & family,2.9,401,57,Banking,
England,Bruno Schroder & family,3.4,330,79,Banking,
England,Nathaniel Rothschild,1,1153,40,Banking,
USA,Andrew Beal,7,133,59,Banking,Real Estate
USA,Gerald J. Ford,1.7,764,67,Banking,
USA,Norman Braman,1.6,804,79,Banking,Service
Mexico,Roberto Gonzalez Barrera,1.9,683,81,Banking ,Food
Mexico,Carlos Hank Rhon & family,1.4,913,64,Banking ,
Mexico,Roberto Hernandez Ramirez,1.3,960,70,Banking ,
Mexico,Alfredo Harp Helu & family,1,1153,68,Banking ,
Russia,Sergei Popov,5.7,178,40,Banking ,Coal
Russia,Nikolai Tsvetkov,3,377,51,Banking ,
Russia,Danil Khachaturov,2,634,40,Banking ,Insurance
USA,Ty Warner,2.4,521,68,Manufacturing,
Austria,Reinold Geiger,1.3,960,64,Beauty Products,
France,Alain & Gerard Wertheimer,7.5,122,0,Beauty Products,Chanel
USA,Richard Schulze,2,634,71,Internet,Best Buy 
India,Cyrus Poonawalla,2.9,401,70,Bio Tech,
Switzerland,Ernesto Bertarelli & family,10.6,83,46,Bio Tech,Finance
Germany,Heinz Hermann Thiele & family,4.4,242,70,Manufacturing,Brakes
USA,Thomas Siebel,1.8,719,59,Software,business software
USA,James Leprino,2.7,442,74,Food & Drinks,cheese
China,Chen Jianhua,2.2,578,41,Chemicals,
China,Meng Qingshan & family,1.1,1075,63,Chemicals,
Germany,Dieter Schnabel,4.7,223,66,Chemicals,
Netherlands,Hans Melchers,1.5,854,73,Chemicals,Investments
