sort_order,rank,company,overall_score,change_from_2019,customer_satisfaction,employee_engagement_and_development,innovation,social_responsibility,financial_strength,sector
1,1,Microsoft Corp.,105.5,up 2.5,4,5,6,5,5,Technology
2,2,Amazon.com Inc.,94.3,up 0.4,3,3,6,3,5,Technology
3,3,Apple Inc.,91.6,down 4.4,4,4,6,5,5,Technology
4,4,International Business Machines Corp.,88.9,down 6.8,5,3,6,5,3,Technology
5,5,Intel Corp.,82.9,down 1.6,4,4,5,5,5,Technology
6,6,Nvidia Corp.,81.1,up 3.9,5,5,5,5,5,Technology
7,7,Johnson & Johnson,80.9,up 0.4,4,4,5,5,5,Health Care/Life Sciences
8,8,Cisco Systems Inc.,80.5,down 4.8,5,5,5,5,4,Technology
9,9,Procter & Gamble Co.,79.7,down 3.8,5,5,5,4,5,Consumer Goods
10,10,HP Inc.,77.5,down 2.7,5,4,4,5,5,Technology
11,11,PepsiCo Inc.,77.4,up 3.3,5,4,5,5,4,Consumer Goods
12,12,Adobe Inc.,76.3,up 2.4,4,5,5,5,5,Technology
13,13,Alphabet Inc.,76.1,down 10.3,3,4,5,4,5,Technology
14,14,Accenture PLC,75.8,up 2.2,5,4,5,5,5,Business/Consumer Services
15,15,Merck & Co.,75.5,down 2.4,4,4,5,5,4,Health Care/Life Sciences
16,16,General Motors Co.,75.1,up 6.7,5,4,5,4,4,Automotive/Vehicles
17,17,Equinix Inc.,74.9,up 15.2,4,4,5,4,3,Business/Consumer Services
18,18,3M Co.,74.2,up 2.2,3,4,5,5,4,Business/Consumer Services
19,19,Capital One Financial Corp.,73.3,up 14.1,3,4,5,4,4,Financial Services
20,20,Nike Inc.,72.9,up 0.9,5,3,5,4,5,Consumer Goods
21,21,Visa Inc.,72.8,up 1.7,5,4,5,5,4,Financial Services
22,22,Salesforce.com Inc.,72.1,0,4,5,5,4,3,Technology
23,23,Abbott Laboratories,71.8,up 4.3,3,4,5,5,4,Health Care/Life Sciences
24,24,Edwards Lifesciences Corp.,71.6,up 0.2,5,4,4,5,4,Health Care/Life Sciences
25,25,Advanced Micro Devices Inc.,70.9,up 2.8,4,5,4,4,5,Technology
26,26,Ford Motor Co.,70.8,down 2.3,5,4,5,4,3,Automotive/Vehicles
27,27,Pfizer Inc.,70.3,up 4.1,4,4,5,4,4,Health Care/Life Sciences
28,28,Etsy Inc.,70.1,up 3.7,5,5,4,3,5,Retail/Wholesale
29,29,Lockheed Martin Corp.,69.9,down 3.6,4,4,4,4,4,Industrial Goods
30,30,S&P Global Inc.,69.6,down 1.9,5,4,3,5,5,Financial Services
