Year,Event
2015,"In 2015, Company X ranked as the biggest company\nin the clothing market"
2014,"Before that, Company X owned about 9000 stores\nand had an income of over 10 billion"
2013,"Before that, Company X  owned 6000 stores across\nthe country, even in small counties"
2012,"Before that, Company X owned 2000 stores in 50\ncities"
2011,"Before that, Company X got a 40 million investment"
2010,"Before that, Company X expanded its market quickly"
2009,"Before that, a 20-year-old young man started a\nclothing company called Company X in 2009"
2015,"However after 2015 when Company X ranked as the\nbiggest company in the clothing market"
2016,"Then, the clothing market began to shrink due to the\nrise of E-commerce"
2017,"Then, the sales of Company X decreased nearly 1/4"
2018,"Then, Company X was stuck in great debt due to its\noverstocked commodities"
2019,"Then, Company X shut down 2400 stores"
2020,"At last, Company X declared bankruptcy under the\nstrike of coronavirus"
