Year,Event
2015,"In 2015, Company X ranked as the biggest company\nin the clothing market. To know how, let’s go back"
2009,"To begin with, a 20-year-old young man started a\nclothing company called Company X in 2009"
2010,"Then, Company X expanded its market quickly"
2011,"Then, Company X got a 40 million investment"
2012,"Then, Company X owned 2000 stores in 50 cities"
2013,"Then, Company X  owned 6000 stores across the\ncountry, even in small counties"
2014,"Then, Company X owned about 9000 stores and had\nan income of over 10 billion"
2015,"Then, Company X ranked as the biggest company in\nthe clothing market"
2016,"However, the clothing market began to shrink due to\nthe rise of E-commerce"
2017,"Then, the sales of Company X decreased nearly 1/4"
2018,"Then, Company X was stuck in great debt due to its\noverstocked commodities"
2019,"Then, Company X shut down 2400 stores"
2020,"At last, Company X declared bankruptcy under the\nstrike of coronavirus"
