Year,Event
16:00,"At 16:00, Z was punched to death during a fight.\nWhat happened before?"
15:00,"Before, he had a fight with the robber"
14:00,"Before, he rushed home"
13:00,"Before, he received a call from his neighbor\nwho saw a man broke into his house"
12:00,"Before, he had a lunch"
11:00,"Before, he was busy at work"
10:00,"Before, he went to work"
9:00,"Before, he ate breakfast"
8:00,"Before, Z got up"
16:00,"On the other hand,\nwhat happened after 16:00?"
17:00,"Then, a friend of Z called him, but never answered"
18:00,"Then, the friend decided to find Z"
19:00,"At last,\nZ was found dead in his house"
16:00,"At 16:00, Z was punched to death during a fight"
