Year,Event
16:00,"At 16:00, A was killed accidentally\nHow did it happen?"
8:00,"To start with, A got up"
9:00,"Then, A ate breakfast"
10:00,"Then, A said goodbye to his daughter and went to work"
11:00,"Then, A was busy at work"
12:00,"Then, A received a call from B"
13:00,"Then, A rushed home"
14:00,"Then, A found the B"
15:00,"Then, A had a fight with B"
16:00,"Then, A was killed accidentally"
17:00,"Then, a co-worker called A"
18:00,"Then, the co=worker decided to find him in his house"
19:00,"At last,\nA was found dead in his house"
