公司名称,职位名,主要人员名,
上海万众医院有限公司	,执行董事	,占阳珊	,
上海万众医院有限公司	,监事	,卓立强	,
上海万众医院有限公司	,经理	,徐筱林	,
上海永生医院管理有限公司	,监事	,杨宝珍	,
上海永生医院管理有限公司	,执行董事兼总经理	,陈彬	,
上海蓝十字脑科医院投资股份有限公司	,董事长	,卓立强	,
上海蓝十字脑科医院投资股份有限公司	,副董事长	,汤珣	,
上海蓝十字脑科医院投资股份有限公司	,监事	,许珍珍	,
上海蓝十字脑科医院投资股份有限公司	,监事	,朱敏	,
上海蓝十字脑科医院投资股份有限公司	,董事	,詹阳斌	,
上海蓝十字脑科医院投资股份有限公司	,监事	,吴春芳	,
上海蓝十字脑科医院投资股份有限公司	,董事	,姜燕烨	,
上海蓝十字脑科医院投资股份有限公司	,总经理	,陈彬	,
上海蓝十字脑科医院投资股份有限公司	,董事	,项耀钧	,
上海蓝生脑科医院管理有限公司	,监事	,杨宝珍	,
上海蓝生脑科医院管理有限公司	,执行董事	,陈彬	,
南京蓝盾医院有限公司	,监事	,杨宝珍	,
南京蓝盾医院有限公司	,执行董事	,陈彬	,
宁波蓝十字脑科医院有限公司	,监事	,霍华袆	,
宁波蓝十字脑科医院有限公司	,执行董事兼总经理	,陈彬	,
宁波蓝盾脑科医院有限公司	,执行董事兼总经理	,陈彬	,
宁波蓝盾脑科医院有限公司	,监事	,霍华祎	,
广州蓝十字脑科医院有限公司	,监事	,霍华袆	,
广州蓝十字脑科医院有限公司	,执行董事兼总经理	,陈彬	,
广州蓝盾脑科医院有限公司	,监事	,霍华袆	,
广州蓝盾脑科医院有限公司	,执行董事兼总经理	,陈彬	,
慈溪蓝十字脑康医院有限公司	,执行董事	,杨宝珍	,
慈溪蓝十字脑康医院有限公司	,监事	,郭红渊	,
慈溪蓝十字脑康医院有限公司	,总经理	,林海	,
成都蓝十字脑科医院有限公司	,监事	,霍华祎	,
成都蓝十字脑科医院有限公司	,执行董事兼总经理	,陈彬	,
成都蓝盾脑科医院有限公司	,执行董事兼总经理	,陈彬	,
成都蓝盾脑科医院有限公司	,监事	,霍华祎	,
杭州蓝盾脑科医院有限公司	,监事	,霍华祎	,
杭州蓝盾脑科医院有限公司	,执行董事兼总经理	,陈彬	,
浙江蓝宙信息科技有限公司	,监事	,杨宝珍	,
浙江蓝宙信息科技有限公司	,经理，执行董事	,陈彬	,
浙江蓝峰工程管理有限公司	,监事	,杨宝珍	,
浙江蓝峰工程管理有限公司	,经理，执行董事	,陈彬	,
浙江蓝石医药有限公司	,执行董事	,杨宝珍	,
浙江蓝石医药有限公司	,监事	,郭红渊	,
浙江蓝石医药有限公司	,经理	,陈彬	,
福州蓝十字脑科医院有限公司	,监事	,霍华祎	,
福州蓝十字脑科医院有限公司	,执行董事兼总经理	,陈彬	,
苏州蓝十字脑科医院有限公司	,监事	,刘金炉	,
苏州蓝十字脑科医院有限公司	,执行董事	,陈彬	,
苏州蓝盾脑科医院有限公司	,监事	,刘金炉	,
苏州蓝盾脑科医院有限公司	,执行董事	,陈彬	,
长沙蓝十字脑科医院有限公司	,执行董事兼总经理	,卓立强	,
长沙蓝十字脑科医院有限公司	,监事	,霍华祎	,
长沙蓝盾脑科医院有限公司	,监事	,霍华祎	,
长沙蓝盾脑科医院有限公司	,执行董事兼总经理	,卓立强	,
