公司名称,对外投资企业,对外投资企业类型,对外投资企业法人,对外投资企业注册金额,投资额,投资占比,对外投资企业成立时间,对外投资企业经营状态,
上海蓝十字脑科医院投资股份有限公司	,上海万众医院有限公司	,有限责任公司（自然人投资或控股的法人独资）	,占阳珊	,1000.000000万人民币	,1000.0	,100.0%	,2009-04-29	,存续（在营、开业、在册）	,
上海万众医疗投资股份有限公司	,苏州蓝盾脑科医院有限公司	,有限责任公司（自然人投资或控股的法人独资）	,陈彬	,5000.000000万	,5000.0	,100.0%	,2019-05-16	,存续（在营、开业、在册）	,
上海蓝十字脑科医院投资股份有限公司	,浙江蓝宙信息科技有限公司	,有限责任公司（自然人投资或控股的法人独资）	,陈彬	,1000.000000万人民币	,1000.0	,100.0%	,2019-06-25	,存续	,
上海万众医疗投资股份有限公司	,上海蓝十字脑科医院有限公司	,有限责任公司（自然人投资或控股的法人独资）	,陈彬	,9333.333300万人民币	,9333.3333	,100.0%	,2013-04-09	,存续（在营、开业、在册）	,
上海蓝十字脑科医院投资股份有限公司	,宁波蓝十字脑科医院有限公司	,其他有限责任公司	,陈彬	,5000.000000万人民币	,5000.0	,100.0%	,2019-05-21	,存续	,
上海万众医疗投资股份有限公司	,慈溪蓝十字脑康医院有限公司	,有限责任公司（非自然人投资或控股的法人独资）	,杨宝珍	,2000.000000万人民币	,2000.0	,100.0%	,2018-12-10	,存续	,
上海蓝十字脑科医院投资股份有限公司	,宁波英豪医疗科技有限公司	,有限责任公司（非自然人投资或控股的法人独资）	,杨宝珍	,500.000000万人民币	,500.0	,100.0%	,2018-08-29	,存续	,
上海蓝十字脑科医院投资股份有限公司	,宁波蓝盾脑科医院有限公司	,有限责任公司（非自然人投资或控股的法人独资）	,陈彬	,5000.000000万人民币	,5000.0	,100.0%	,2019-05-21	,存续	,
上海蓝十字脑科医院投资股份有限公司	,上海蓝生脑科医院管理有限公司	,有限责任公司（自然人投资或控股的法人独资）	,陈彬	,500.000000万人民币	,500.0	,100.0%	,2019-07-26	,存续（在营、开业、在册）	,
上海蓝十字脑科医院投资股份有限公司	,杭州蓝十字脑科医院有限公司	,有限责任公司（自然人投资或控股的法人独资）	,陈彬	,5000.000000万人民币	,5000.0	,100.0%	,2019-04-03	,存续	,
上海蓝十字脑科医院投资股份有限公司	,福州蓝十字脑科医院有限公司	,有限责任公司（自然人投资或控股的法人独资）	,陈彬	,5000.000000万人民币	,5000.0	,100.0%	,2019-05-20	,存续（在营、开业、在册）	,
上海万众医疗投资股份有限公司	,成都蓝十字脑科医院有限公司	,有限责任公司（自然人投资或控股的法人独资）	,陈彬	,10000.000000万人民币	,10000.0	,100.0%	,2019-04-09	,存续（在营、开业、在册）	,
上海蓝十字脑科医院投资股份有限公司	,广州蓝盾脑科医院有限公司	,有限责任公司(法人独资)	,陈彬	,5000.000000万人民币	,5000.0	,100.0%	,2019-05-10	,在营（开业）企业	,
上海万众医疗投资股份有限公司	,长沙蓝十字脑科医院有限公司	,有限责任公司（非自然人投资或控股的法人独资）	,卓立强	,500.000000万人民币	,500.0	,100.0%	,2019-04-19	,存续（在营、开业、在册）	,
上海蓝十字脑科医院投资股份有限公司	,广州蓝十字脑科医院有限公司	,有限责任公司(法人独资)	,陈彬	,5000.000000万人民币	,5000.0	,100.0%	,2019-05-10	,在营（开业）企业	,
上海万众医疗投资股份有限公司	,长沙蓝盾脑科医院有限公司	,有限责任公司（自然人投资或控股的法人独资）	,卓立强	,5000.000000万人民币	,5000.0	,100.0%	,2019-04-24	,存续（在营、开业、在册）	,
上海蓝十字脑科医院投资股份有限公司	,深圳蓝盾脑科医院	,有限责任公司（法人独资）	,陈彬	,(人民币)5000万元	,5000.0	,100.0%	,2019-06-17	,存续（在营、开业、在册）	,
上海万众医疗投资股份有限公司	,杭州蓝盾脑科医院有限公司	,有限责任公司（非自然人投资或控股的法人独资）	,陈彬	,5000.000000万人民币	,5000.0	,100.0%	,2019-04-26	,存续	,
上海蓝十字脑科医院投资股份有限公司	,深圳蓝十字脑科医院	,有限责任公司（自然人投资或控股的法人独资）	,陈彬	,5000.000000万人民币	,5000.0	,100.0%	,2019-06-17	,存续（在营、开业、在册）	,
上海万众医疗投资股份有限公司	,浙江蓝石医药有限公司	,有限责任公司（自然人投资或控股的法人独资）	,陈彬	,1000.000000万人民币	,1000.0	,100.0%	,2019-04-26	,存续	,
上海蓝十字脑科医院投资股份有限公司	,成都蓝盾脑科医院有限公司	,有限责任公司（自然人投资或控股的法人独资）	,陈彬	,10000.000000万人民币	,10000.0	,100.0%	,2019-06-21	,存续（在营、开业、在册）	,
上海万众医疗投资股份有限公司	,苏州蓝十字脑科医院有限公司	,有限责任公司（自然人投资或控股的法人独资）	,陈彬	,5000.000000万人民币	,5000.0	,100.0%	,2019-04-30	,存续（在营、开业、在册）	,
上海蓝十字脑科医院投资股份有限公司	,上海永生医院管理有限公司	,有限责任公司（自然人投资或控股的法人独资）	,陈彬	,500.000000万人民币	,500.0	,100.0%	,2019-06-25	,存续（在营、开业、在册）	,
上海万众医疗投资股份有限公司	,南京蓝盾医院有限公司	,有限责任公司（非自然人投资或控股的法人独资）	,陈彬	,500.000000万	,500.0	,100.0%	,2019-05-10	,存续（在营、开业、在册）	,
上海蓝十字脑科医院投资股份有限公司	,浙江蓝峰工程管理有限公司	,有限责任公司（自然人投资或控股的法人独资）	,陈彬	,1000.000000万人民币	,1000.0	,100.0%	,2019-06-25	,存续	,
