公司名称,职位名,主要人员名,
上海伊丽莎白国际妇产医院有限公司	,监事	,段长站	,
上海伊丽莎白国际妇产医院有限公司	,董事长	,蔡兵洪	,
上海伊丽莎白国际妇产医院有限公司	,董事	,蔡亚彬	,
上海伊丽莎白国际妇产医院有限公司	,董事	,蔡兰梅	,
上海华衡投资（集团）有限公司	,董事	,占阳斌	,
上海华衡投资（集团）有限公司	,董事长	,王敬杰	,
上海华衡投资（集团）有限公司	,董事	,蔡兵洪	,
上海华衡投资（集团）有限公司	,董事长	,王俊杰	,
上海华衡投资（集团）有限公司	,其他人员	,柯俊生	,
上海华衡投资（集团）有限公司	,监事	,游国祥	,
上海华衡投资（集团）有限公司	,监事	,苏金模	,
上海华衡投资（集团）有限公司	,监事	,林国雄	,
上海华衡投资（集团）有限公司	,董事	,詹国连	,
上海华衡投资（集团）有限公司	,董事	,林金土	,
上海新安医院投资管理有限公司	,执行董事	,詹美爱	,
上海新安医院投资管理有限公司	,监事	,陈俊诚	,
上海新钟广告有限公司	,执行董事	,陈俊诚	,
上海新钟广告有限公司	,监事	,林珍金	,
上海衡域实业有限公司	,执行董事	,王兵华	,
上海衡域实业有限公司	,监事	,詹国团	,
伊丽莎白（上海）医疗科技有限公司	,执行董事兼总经理	,蔡兵洪	,
伊丽莎白（上海）医疗科技有限公司	,监事	,蔡亚彬	,
北京欧亚联医疗器械有限公司	,监事	,黄德锋	,
北京欧亚联医疗器械有限公司	,董事长	,詹国连	,
北京欧亚联医疗器械有限公司	,董事	,詹阳斌	,
北京欧亚联医疗器械有限公司	,董事，总经理	,詹玉鹏	,
太仓亲安护理站有限公司	,监事	,高鹏	,
太仓亲安护理站有限公司	,执行董事兼总经理	,柯金勇	,
太仓新安康复医院有限公司	,总经理	,柯金勇	,
太仓新安康复医院有限公司	,监事	,詹美卿	,
太仓新安康复医院有限公司	,执行董事	,高鹏	,
浙江华衡投资有限公司	,监事	,陈俊诚	,
浙江华衡投资有限公司	,执行董事	,詹美爱	,
浙江华衡投资有限公司	,总经理	,王俊杰	,
浙江新安国际医院有限公司	,董事	,詹美爱	,
浙江新安国际医院有限公司	,董事	,詹国营	,
浙江新安国际医院有限公司	,副董事长	,詹国连	,
浙江新安国际医院有限公司	,董事	,林国华	,
浙江新安国际医院有限公司	,董事长	,詹国团	,
福建华衡实业有限公司	,董事	,林国华	,
福建华衡实业有限公司	,董事	,詹鹏龙	,
福建华衡实业有限公司	,董事	,黄加庆	,
福建华衡实业有限公司	,董事兼总经理	,阮立新	,
福建华衡实业有限公司	,董事长	,詹国团	,
福建华衡实业有限公司	,监事	,林珍金	,
福建新安国际医院有限公司	,董事	,林国华	,
福建新安国际医院有限公司	,董事兼总经理	,阮立新	,
福建新安国际医院有限公司	,监事	,林珍金	,
福建新安国际医院有限公司	,副董事长	,詹鹏龙	,
福建新安国际医院有限公司	,董事长	,詹国团	,
福建新安国际医院有限公司	,董事	,黄加庆	,
