企业名称,统一社会信用代码,注册号,组织机构代码,股票代码,省份,市,区/县,公司类型,企业标签,行业,法定代表人,注册资本,注册时间,营业期限自,营业期限至,核准机关,核准日期,经营范围,注册地址,手机号,电话,邮箱,公司网站,企业状态,ID,
上海美莱投资管理有限公司	,91310112771456305E	,310115000875979	,771456305	,	,上海市	,市辖区	,闵行区	,有限责任公司;	,美莱点餐;小微企业;	,商务服务业	,陈金秀	,3300万人民币	,2005-01-20	,2005-01-20	,2025-01-19	,闵行区市场监督管理局	,2005-01-20	,投资管理，企业管理，商务信息咨询（不含经纪），企业形象策划，市场营销策划。【依法须经批准的项目，经相关部门批准后方可开展经营活动】	,上海市闵行区合川路3051号21幢906室	,	,021-51552558	;	021-515525558	;		,84495203@qq.com	;	84485203@qq.com	;	songying@mylike.com	;	mylike01@mylike.com	;		,www.mylikeasia.com	;		,存续（在营、开业、在册）	,23842322	,
亨泰利康融资租赁（厦门）有限公司	,91350200MA31UG414P	,350299100004587	,MA31UG414	,	,福建省	,厦门市	,	,有限责任公司;	,	,租赁业	,陈发金	,20000万人民币	,2018-06-28	,2018-06-28	,9999-12-31	,厦门市市场监督管理局	,2019-10-28	,融资租赁业务、租赁业务、向国内外购买租赁财产、租赁财产的残值处理及维修、租赁交易咨询和担保、经审批部门批准的其他融资租赁业务；兼营与主营业务有关的商业保理业务。	,中国（福建）自由贸易试验区厦门片区（保税区）屿南四路1-9号自贸金融中心A栋2层03单元	,18815995699	;		,	,htleasing@163.com	;		,	,存续（在营、开业、在册）	,3205989426	,
福建省美莱投资管理有限公司	,91350111068780402A	,350100100307037	,068780402	,	,福建省	,厦门市	,湖里区	,有限责任公司;	,小微企业;	,商务服务业	,林兆晞	,2000万人民币	,2013-05-03	,2013-05-03	,2023-05-02	,厦门市湖里区市场监督管理局	,2017-12-12	,投资管理（法律、法规另有规定除外）；资产管理（法律、法规另有规定除外）；企业总部管理；其他未列明企业管理服务（不含须经审批许可的项目）。	,厦门市湖里区仙岳路1939号301室A单元	,15021861586	;	18959586522	;		,	,	,	,存续（在营、开业、在册）	,139439616	,
厦门天人美莱投资管理有限公司	,91350206065888071F	,350203200373018	,065888071	,	,福建省	,厦门市	,湖里区	,有限责任公司;	,小微企业;	,商务服务业	,赵建坤	,1000万人民币	,2013-06-04	,2013-06-04	,2063-06-03	,厦门市湖里区市场监督管理局	,2018-02-06	,投资管理咨询（不含吸收存款、发放贷款、证券、期货及其他金融业务）。	,厦门市湖里区仙岳路1939号301单元	,15021861586	;	18030103556	;	18950044866	;		,	,	,	,存续（在营、开业、在册）	,409291638	,
成都万银美莱投资管理有限公司	,915101000643146580	,510100000279004	,064314658	,	,四川省	,成都市	,青羊区	,有限责任公司;	,小微企业;	,商务服务业	,林国强	,200万人民币	,2013-03-28	,2013-03-28	,3999-01-01	,青羊区市场监督管理局	,2017-03-01	,投资管理（不得从事非法集资、吸收公众资金等金融活动），企业管理，商务信息咨询（不含经纪），企业形象策划，市场营销策划。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。	,成都市青羊区青华路31号乙幢五楼	,18200243707	;		,028-69331640	;	62988823	;		,1976296083@qq.com	;	439003012@qq.com	;	4690621zjh@163.com	;		,	,存续（在营、开业、在册）	,370866646	,
厦门华医馆投资有限公司	,9135020330305089XX	,350203200514041	,30305089X	,	,福建省	,厦门市	,思明区	,有限责任公司;	,小微企业;	,商务服务业	,詹建昇	,1000万人民币	,2014-12-25	,2014-12-25	,2064-12-24	,厦门市思明区市场监督管理局	,2019-06-21	,对第一产业、第二产业、第三产业的投资（法律、法规另有规定除外）；投资管理（法律、法规另有规定除外）；资产管理（法律、法规另有规定除外）；其他未列明企业管理服务（不含须经审批许可的项目）；商务信息咨询；投资咨询（法律、法规另有规定除外）；市场管理。	,厦门市思明区湖光路92-93号	,18065927205	;	18030103556	;		,	,	,	,存续（在营、开业、在册）	,174646694	,
美莱医学美容医院有限公司	,91510100698883553R	,510100000128361	,698883553	,	,四川省	,成都市	,青羊区	,有限责任公司;	,美莱整形;	,卫生	,陈金秀	,5000万人民币	,2010-01-08	,2010-01-08	,3999-01-01	,青羊区市场监督管理局	,2018-05-14	,外科/整形外科专业、口腔科/正畸专业/口腔修复专业、医疗美容科/美容外科/美容牙科/美容皮肤/美容中医科、麻醉科/医学影像科/超声诊断专业/心电诊断专业、中医科/皮肤科专业、医学检验科\临床体液、血液专业\临床化学检验专业/X线诊断专业（以上范围凭许可证经营）；企业管理咨询（仅限分支机构经营）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。	,成都市青羊区青华路31号	,	,028-69331640	;	69332052	;	68811338	;		,4690621zjhn@163.com	;	hr@scmylike.com	;	656239410@qq.com	;		,www.scmylike.com	;	www.scmylike.com	;	www.scmylike.com	;	www.mylikecd.com	;	www.cdmylike.com	;	www.scmylike.com	;	www.mylikesc.com	;		,存续（在营、开业、在册）	,174646768	,
健信康融商业保理（厦门）有限公司	,91350200MA31R2HJXU	,350299100004511	,MA31R2HJX	,	,福建省	,厦门市	,	,有限责任公司;	,	,商务服务业	,李飞跃	,5000万人民币	,2018-05-31	,2018-05-31	,9999-12-31	,厦门市市场监督管理局	,2019-10-28	,从事商业保理业务；信用服务（不含需经许可审批的项目）；供应链管理；市场调查；社会经济咨询（不含金融业务咨询）；商务信息咨询；企业管理咨询；医疗信息咨询服务（不含药品信息服务、疾病诊疗及其他需经许可审批的项目）；依法从事对非公开交易的企业股权进行投资以及相关咨询服务；在法律法规允许范围内受托提供企业破产、清算服务；提供企业营销策划服务；广告的设计、制作、代理、发布；其他未列明商务服务业（不含需经许可审批的项目）。	,中国(福建)自由贸易试验区厦门片区屿南四路7号自贸金融中心A栋2层03单元	,18815995699	;		,	,jxfactoring@163.com	;		,	,存续（在营、开业、在册）	,3198881239	,
泉州丰泽美莱华美医疗美容有限公司	,91350503MA2Y9HH642	,350503100321132	,MA2Y9HH64	,	,福建省	,泉州市	,丰泽区	,有限责任公司;	,	,卫生	,胡珍敬	,2000万人民币	,2017-05-26	,2017-05-26	,2037-05-25	,泉州市工商行政管理局丰泽分局	,2018-08-27	,美容外科、美容皮肤科、美容牙科、医学检验科。（依法须经批准的项目，经相关部门批准后方可开展经营活动）	,福建省泉州市丰泽区东湖街道铭湖社区刺桐北路688号	,15396696991	;	15280853599	;		,	,huameiqz@126.com	;	2177057394@qq.com	;		,www.qzmylike.com	;	www.qzmeilai.com	;	www.qzmylike.cn	;	www.qzhmzx.com	;	www.qzpyy.net	;	www.qzmylike.com	;	www.qzhuamei.net	;	www.qzhmkq.com	;	www.qzhuamei.com	;		,存续（在营、开业、在册）	,3054854161	,
上海浦西医院管理有限公司	,91310112797039278E	,310112000725952	,797039278	,	,上海市	,市辖区	,闵行区	,有限责任公司;	,	,商务服务业	,陈金秀	,1000万人民币	,2007-01-08	,2007-01-08	,2027-01-07	,闵行区市场监督管理局	,2007-01-08	,医院投资管理。【依法须经批准的项目，经相关部门批准后方可开展经营活动】	,上海市闵行区合川路3071号3幢101室	,	,021-51552555	;	021-51552558	;		,fqm19691004@163.com	;	fqm1691004@163.com	;		,	,存续（在营、开业、在册）	,54768168	,
四川众福医院管理有限公司	,91510107321538151U	,510107000829088	,321538151	,	,四川省	,成都市	,武侯区	,有限责任公司;	,小微企业;	,商务服务业	,吴建成	,200万人民币	,2014-12-02	,2014-12-02	,3999-01-01	,武侯区市场和质量监督管理局	,2018-07-17	,企业管理；商务信息咨询，企业形象策划，市场营销策划（依法须经批准的项目，经相关部门批准后方可开展经营活动）。	,成都市武侯区洗面桥街22号1栋1单元11层4号	,13568868666	;	13880326088	;		,	,79956589@qq.com	;		,	,存续（在营、开业、在册）	,174646735	,
宁波海曙美莱医疗美容专科门诊有限公司	,9133020366206103X9	,330200000028621	,66206103X	,	,浙江省	,宁波市	,海曙区	,有限责任公司;	,	,卫生	,Huang Shaojie	,3000万人民币	,2007-05-21	,2007-05-21	,9999-09-09	,宁波市海曙区市场监督管理局	,2017-06-13	,医疗美容科，美容外科，美容牙科，美容皮肤科，麻醉科，医学检验科，临床体液、血液专业，临床生化检验专业，临床免疫、血清学专业，医学影像科，超声诊断专业，心电诊断专业；美容服务（上述两个在许可证有效期内经营）。	,浙江省宁波市海曙区灵桥路713号	,	,87296868	;	0574-87310880-8608	;		,471772639@qq.com	;		,www.nbmylike.com	;	www.nbmr.net	;	www.nbmylike.com	;	www.057481111111.com	;	ningbomylike.com	;	mylikenb.com	;	nbmeilai.com	;	nbmylikekq.com	;	zszxyy.com	;	mylike.com.cn	;	mylikeck.com	;	nblongbi.com	;	nbmr.net	;	nbmeifu.com	;	nbmylike.net	;	nbyxwx.com	;	nbyachi.com	;	ningbomylike.net	;	nbshuangyanpi.com	;		,存续	,23008916	,
厦门美莱医疗美容门诊部有限公司	,913502030728079976	,350203200379574	,072807997	,	,福建省	,厦门市	,思明区	,有限责任公司;	,	,卫生	,朱锡春	,2850万人民币	,2013-07-10	,2013-07-10	,2063-07-09	,厦门市思明区市场监督管理局	,2018-11-07	,门诊部（所）。	,厦门市思明区湖滨东路90号1层1-4号商场、2层1-11号商场	,13459247372	;		,	,623637655@qq.com	;		,www.xmmylike.com	;		,注销	,23017902	,
绵阳华美紫馨医学美容医院有限公司	,91510700MA6BE7QH8K	,510700000213886	,MA6BE7QH8	,	,四川省	,绵阳市	,涪城区	,有限责任公司;	,	,卫生	,薛红	,1000万人民币	,2018-07-02	,2018-07-02	,	,绵阳市工商行政管理局	,2019-05-09	,美容外科、美容皮肤科、美容口腔科、麻醉科、检验室、超声检查、心电图检查、口腔影像检查。（依法须经批准的项目，经相关部门批准后方可开展经营活动）	,绵阳市高新区火炬街南段48号	,	,0816-2995177	;		,	,	,存续（在营、开业、在册）	,3211863339	,
长沙紫馨医疗美容医院有限公司	,91430111MA4M6KML3W	,430111000533428	,MA4M6KML3	,	,湖南省	,长沙市	,雨花区	,有限责任公司;	,	,卫生	,庄剑	,1000万人民币	,2017-10-17	,2017-10-17	,2067-10-16	,长沙市工商行政管理局雨花分局	,2017-10-17	,美容服务；医院经营管理。（依法须经批准的项目，经相关部门批准后方可开展经营活动）	,长沙市雨花区芙蓉中路339号（三、四楼）	,	,0731-83077712	;		,mylikeyb@163.com	;		,	,注销	,3113202030	,
广州紫馨医疗美容医院有限公司	,91440101MA5ANTPA0H	,	,MA5ANTPA0	,	,广东省	,广州市	,天河区	,有限责任公司;	,	,卫生	,卓志明	,1000万人民币	,2018-01-04	,2018-01-04	,	,广州市天河区工商行政管理局	,2019-09-23	,专科医院;	,广州市天河区黄埔大道西122号裙楼1-5层	,13533136178	;		,	,	,	,在营（开业）企业	,3359580345	,
佛山市美莱医疗美容医院有限公司	,91440604MA4X3DQT9J	,440602000629895	,MA4X3DQT9	,	,广东省	,佛山市	,禅城区	,有限责任公司;	,	,卫生	,佘海英	,1000万人民币	,2017-09-07	,2017-09-07	,	,佛山市禅城区市场监督管理局	,2017-09-07	,持有效审批证件从事营利性医疗机构。	,佛山市禅城区汾江南路18号首层P1自编106、107、108、109、110号铺、二层-四层	,18859103739	;		,	,452802589@qq.com	;	835592623@qq.com	;		,www.mylikefs.cn	;	www.fsmylike.cn	;	www.fsmylike.net	;	mylikefs.net	;	mylikefs.com.cn	;	fsmylike.com.cn	;		,在营（开业）企业	,3094755936	,
南京鼓楼美莱医疗美容门诊部有限公司	,91320106MA1MY13U1T	,320106000378275	,MA1MY13U1	,	,江苏省	,南京市	,鼓楼区	,有限责任公司;	,	,卫生	,陈志龙	,1000万人民币	,2016-11-01	,2016-11-01	,2036-10-31	,南京市鼓楼区市场监督管理局	,2018-11-08	,医疗美容科；美容外科；美容牙科；美容皮肤科；美容中医科；医学检验科；麻醉科；口腔科；口腔修复专业，口腔正畸专业，口腔种植专业；临床免疫、血清学专业；临床体液、血液专业；临床微生物学专业；临床化学检验专业/医学影像科；X线诊断专业，超声诊断专业，心电诊断专业；市场营销策划；企业管理咨询，财务咨询（不得从事代理记账），商务信息咨询；物业管理；化妆品销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）	,南京市鼓楼区广州路188号	,13799669182	;		,025-86998888	;		,2577056@qq.com	;	6414752@qq.com	;		,www.mylikenj.com	;	www.025meilai.com	;	www.njmeilai.net	;	www.025mlzx.com	;	www.njzxyy.cn	;	218.94.37.30	;	www.mylikenj.com	;	www.86978888.com	;	www.mylikenj.cn	;	www.njyimei.cn	;	www.025ml.cn	;	www.njyimei.com	;	025mylike.cn	;	025mylike.com	;	njzhengxing.net	;	jsmylike.com	;	njmylikezx.cn	;	jsmylike.cn	;	218.94.37.30	;	njmlzx.com	;	meilainj.com	;	njmylikezx.com	;	meilainj.cn	;	jsmylike.com.cn	;	nanjingmeilai.com	;	nanjingmeilai.cn	;	025yimei.com	;	njmeilai.cn	;		,存续（在营、开业、在册）	,3116420500	,
洛阳美莱医疗美容门诊有限公司	,91410303MA47B0CU2N	,	,MA47B0CU2	,	,河南省	,洛阳市	,西工区	,有限责任公司;	,	,卫生	,陈开基	,800万人民币	,2019-08-30	,2019-08-30	,	,洛阳市西工区市场监督管理局	,2019-08-30	,医疗美容	,河南省洛阳市西工区西工街道人民西路5号	,	,	,	,	,存续（在营、开业、在册）	,3366487802	,
广州美莱医疗美容门诊部有限公司	,91440101050646379T	,440106000671057	,050646379	,	,广东省	,广州市	,天河区	,有限责任公司;	,广州美莱美容医院;	,卫生	,林伟胜	,700万人民币	,2012-08-06	,2012-08-06	,	,广州市天河区工商行政管理局	,2018-04-28	,门诊部（所）;	,广州市天河区林和西横路222号自编首层101-103、104-116、2层、3层、4层、5-19层的1-6单元	,	,28018691	;	28018511	;	28018686	;		,	,www.gzmylike.com.cn	;	www.mylike020.com	;	www.mylike020.com.cn	;	www.mylikegz.com	;	www.mylikegz.net	;	www.mylike020.net	;	www.020mylike.cn	;	www.mylikegz.cn	;	183.63.130.122	;	183.63.130.123	;	www.gzmylike.cn	;	www.mylike020.cn	;	www.020mylike.com.cn	;	www.mylike.cc	;	www.gzmylike.com	;	www.zhengxingyiyuan.net	;	www.mylikezx.com	;	www.gdmylike.cc	;	www.mylikezr.com	;	www.020mylike.com	;	www.mylikegz.com.cn	;	183.63.130.123	;	183.63.130.122	;		,在营（开业）企业	,1317327617	,
广州紫馨医疗美容门诊部有限公司	,91440101304423272M	,440104000438525	,304423272	,	,广东省	,广州市	,越秀区	,有限责任公司;	,广州紫馨;	,卫生	,郑晋丰	,1000万人民币	,2014-06-05	,2014-06-05	,	,广州市越秀区工商行政管理局	,2016-11-15	,门诊部（所）;	,广州市越秀区环市东路360号二楼	,13533136178	;		,22250939	;		,	,www.zeexin.net	;	www.zeexin.com	;	www.zeexin.cn	;	www.zeexin.cc	;	www.gzzeexin.com	;	www.100hgty.cn	;	www.020zeexin.net	;	www.zeexin.net.cn	;	www.zeexin.com.cn	;	www.gzzeexin.net	;	www.gzzeexin.com.cn	;	www.gzzeexin.cn	;	www.izeexin.cn	;	www.020zeexin.cn	;	www.izeexin.com	;	www.020zeexin.com	;	www.020zeexin.com.cn	;		,在营（开业）企业	,2324462551	,
上海美莱医疗美容门诊部有限公司	,91310105312377683X	,310105000463634	,312377683	,	,上海市	,市辖区	,长宁区	,有限责任公司;	,	,卫生	,陈山	,5000万人民币	,2014-09-03	,2014-09-03	,2034-09-02	,长宁区市场监管局	,2014-09-03	,医疗美容科、麻醉科、医学检验科、医学影像科。【依法须经批准的项目，经相关部门批准后方可开展经营活动】	,上海市长宁区延安西路789号103、201-202、301-302、801-802、901-902、1001-1002、1101-1102、1201-1202室	,	,021-22235926	;	021-52308888	;	021-52302088	;		,1814782515@qq.com	;	3216631754@qq.com	;	18020606662@163.com	;		,www.shmylike.com	;	shmylike.com	;	www.ml-kq.com	;	www.sh-mylike.cn	;	www.sh-mylike.com	;	www.mylike021.com	;	www.shmylikezx.com	;	www.shmylike.co	;	www.ml-dental.com	;	www.mylikemr.co	;	www.shlike.net	;	www.shlike.co	;	www.021mylike.net	;	www.mylikesh021.net	;	www.shmylike021.net	;	www.021mylike.co	;	www.shmlmr.co	;	www.mylikesh.co	;	www.mylikesh021.cn	;	www.mylikesh021.com	;	www.77meiren.com	;	www.021mylike.com	;	www.021mylike.cn	;	www.shmylike.cn	;	www.shmylike.net	;	www.177mr.com	;	www.ml-pf.com	;	www.shanghaizhengxing.cn	;	www.shzhengxing.cn	;	www.021mlmr.co	;	www.021mlmr.cn	;	www.021mlmr.com	;	www.021mlmr.net	;	www.shmlmr.net	;	www.shml.top	;	www.shmylikemr.net	;	www.mylikesh021.co	;	www.shmylike021.co	;	www.shmylike.com	;	www.my88.co	;	www.shwzx.cn	;	mylike-sh.com	;	mylike-sh.cc	;	mylike-sh.net	;	mylike0871.com	;	mylike025.cn	;	mylike025.net	;	sh-mylike.net	;	91mylike.com	;	99yimei.com	;	22235555.cn	;	shmylike.com.cn	;	mylikesh.cn	;	mlylmr.com	;	94meiren.com	;	shmylike.cc	;	my333.net	;	mylike021.cc	;	mylike021.cn	;	mylike021.net	;	mylike-sh.cn	;	mylike0871.cn	;	mylike025.com	;	mylike025.cc	;	mylike88.com	;	shmeilai.cn	;	mylikezf.cn	;	mylikesh.net	;	shmlzx.cn	;	mylike.asia	;	mr369.com	;		,存续（在营、开业、在册）	,1225805620	,
杭州美莱医疗美容医院有限公司	,91330100095194628W	,330100000190316	,095194628	,	,浙江省	,杭州市	,西湖区	,有限责任公司;	,美莱医疗;	,卫生	,许建阳	,3000万人民币	,2014-03-21	,2014-03-21	,9999-09-09	,杭州市市场监督管理局	,2017-09-14	,服务：诊疗服务（凭许可证经营）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）	,浙江省杭州市西湖区莫干山路333号	,	,88268888	;	0571-88268888	;	88268558	;		,	,hzmylike.com	;	hzmylike.com	;	www.hzmylike.com	;	www.hzmylike-spa.com	;	hzmylike67.com	;	zjmylike.com	;	hzmylike21.com	;	hzmylike.cn	;	hzmylike13.com	;	hzmylike62.com	;	hzmylike31.com	;	hzmylike65.com	;	xhmylike.cn	;	zjmylike.cn	;	hzmylike50.com	;	hzmylike10.com	;	hzmylike61.com	;	hzmylike70.com	;	hzmylike71.com	;	hzmylike.net	;	hzmylike22.com	;	mylike-ps.com	;	hzmylike11.com	;	hzmylike72.com	;	zjmylike.net	;	hzmylike12.com	;	hzmylike30.com	;	xhmylike.com	;	hzmylike20.com	;		,存续	,136980853	,
曲靖华美美莱美容医院有限公司	,91530302MA6N5B7B08	,530302000179037	,MA6N5B7B0	,	,云南省	,曲靖市	,麒麟区	,有限责任公司;	,	,卫生	,刘恒兴	,320万人民币	,2018-05-16	,2018-05-16	,	,麒麟区市场监督管理局	,2019-08-15	,医疗服务（按《医疗机构执业许可证》核定的时限和范围开展经营活动）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）	,云南省曲靖市麒麟区南宁北路103号	,	,0874-6156666	;		,929721103@qq.com	;		,www.mylikeqj.com	;	www.qjmylike.cn	;	www.qjzxmylike.com	;	www.mylikeqj.net	;	www.qjmylike.com	;	www.qjmylike.net	;	www.mylikeqj.cn	;	qjzxmylike.net	;	qjzxmylike.cn	;		,存续（在营、开业、在册）	,3194649601	,
