公司名称,职位名,主要人员名,
上海健桥医院有限公司	,执行董事，总经理	,蔡金兴	,
上海健桥医院有限公司	,监事	,郑国栋	,
上海星脉医疗器械有限公司	,监事	,吴家泉	,
上海星脉医疗器械有限公司	,执行董事	,刘文剑	,
上海美迪亚医院投资集团有限公司	,执行董事	,陈国兴	,
上海美迪亚医院投资集团有限公司	,监事	,王为民	,
上海艺星医疗美容医院有限公司	,监事	,陈翔	,
上海艺星医疗美容医院有限公司	,执行董事兼总经理	,王立惠	,
上海闵行虹桥医院有限公司	,监事	,郑国栋	,
上海闵行虹桥医院有限公司	,执行董事	,张金寿	,
北京市艺星国际医学美容研究院	,监事	,林长青	,
北京市艺星国际医学美容研究院	,经理，执行董事	,卓宁志	,
北京艺星医疗美容医院有限公司	,经理，执行董事	,王立惠	,
北京艺星医疗美容医院有限公司	,监事	,王琛	,
合肥市艺星医疗美容医院有限公司	,监事	,苗海燕	,
合肥市艺星医疗美容医院有限公司	,执行董事兼总经理	,李季	,
大连艺星医疗美容医院有限公司	,监事	,王立惠	,
大连艺星医疗美容医院有限公司	,执行董事兼总经理	,黄爱成	,
成都艺星医疗美容医院有限公司	,执行董事兼总经理	,陈孙西	,
成都艺星医疗美容医院有限公司	,监事	,张进	,
无锡和美妇产医院有限公司	,总经理	,刘双赫	,
无锡和美妇产医院有限公司	,执行董事	,陈国兴	,
无锡和美妇产医院有限公司	,监事	,王为民	,
无锡虹桥医院有限公司	,执行董事	,王为民	,
无锡虹桥医院有限公司	,监事	,郑梅华	,
昆山虹桥医院有限公司	,执行董事兼总经理	,詹国城	,
昆山虹桥医院有限公司	,监事	,陈国兴	,
昆明艺星医疗美容医院有限公司	,执行董事兼总经理	,王立惠	,
昆明艺星医疗美容医院有限公司	,监事	,王琛	,
杭州天目山医院有限公司	,监事	,王为民	,
杭州天目山医院有限公司	,执行董事兼总经理	,张金清	,
杭州建国妇科医院有限公司	,监事	,陈汉章	,
杭州建国妇科医院有限公司	,董事长兼总经理	,陈国雄	,
杭州建国妇科医院有限公司	,董事	,程慧斌	,
杭州建国妇科医院有限公司	,董事	,陈国兴	,
杭州艺星医疗美容医院有限公司	,监事	,王立惠	,
杭州艺星医疗美容医院有限公司	,执行董事兼总经理	,陈翔	,
杭州艺星电子商务有限公司	,执行董事兼总经理	,江溢	,
杭州艺星电子商务有限公司	,监事	,王立惠	,
武汉艺星医疗美容医院有限公司	,执行董事	,杜天华	,
武汉艺星医疗美容医院有限公司	,监事	,陈斌	,
武汉艺星医疗美容医院有限公司	,经理	,徐国建	,
武汉艺星医疗美容门诊部有限公司	,执行董事兼总经理	,曾建伟	,
武汉艺星医疗美容门诊部有限公司	,监事	,王立惠	,
汉国企业管理有限公司	,监事	,黄超富	,
汉国企业管理有限公司	,经理，执行董事	,程燊	,
济南市艺星医疗美容医院有限公司	,执行董事兼经理	,易明	,
济南市艺星医疗美容医院有限公司	,监事	,杨飞耿	,
深圳建国泌尿外科医院	,监事	,陈石	,
深圳建国泌尿外科医院	,执行董事，总经理	,杨献东	,
深圳港龙妇产医院	,执行董事，总经理	,孙纬	,
深圳港龙妇产医院	,监事	,詹国城	,
温州建国医院有限公司	,执行董事	,朱海霞	,
温州建国医院有限公司	,总经理	,詹宗阳	,
温州建国医院有限公司	,监事	,詹建光	,
温州艺星医学美容医院有限公司	,执行董事	,陈翔	,
温州艺星医学美容医院有限公司	,监事	,王琛	,
艺星企业管理有限公司	,监事	,陈国雄	,
艺星企业管理有限公司	,经理，执行董事	,戴云凯	,
艺星医疗美容集团股份有限公司	,监事	,石代伦	,
艺星医疗美容集团股份有限公司	,董事	,李灯场	,
艺星医疗美容集团股份有限公司	,监事	,宁钟	,
艺星医疗美容集团股份有限公司	,副董事长，总经理	,陈国雄	,
艺星医疗美容集团股份有限公司	,董事长	,陈国兴	,
艺星医疗美容集团股份有限公司	,董事	,JIAYU CHEN	,
艺星医疗美容集团股份有限公司	,董事	,张斌	,
艺星医疗美容集团股份有限公司	,董事	,蔡广林	,
艺星医疗美容集团股份有限公司	,监事会主席	,王琛	,
艺星医疗美容集团股份有限公司	,董事	,王丹丹	,
艺星文化传播有限公司	,监事	,王志疆	,
艺星文化传播有限公司	,执行董事兼总经理	,江溢	,
艺星生物科技有限公司	,监事	,姚蓓虹	,
艺星生物科技有限公司	,执行董事	,程智斌	,
西安艺星医疗美容医院有限公司	,监事	,林良华	,
西安艺星医疗美容医院有限公司	,执行董事兼总经理	,道理	,
重庆艺星医疗美容医院有限公司	,执行董事兼总经理	,卓宁志	,
重庆艺星医疗美容医院有限公司	,监事	,王立惠	,
长沙艺星医学美容医院有限公司	,执行董事兼总经理	,王立惠	,
长沙艺星医学美容医院有限公司	,监事	,欧丽	,
霍尔果斯康美股权投资合伙企业（有限合伙）	,未知	,卓宁志	,
黑龙江艺星美容医院有限公司	,监事	,王立惠	,
黑龙江艺星美容医院有限公司	,执行董事兼总经理	,黄爱成	,
