,,Í³Ò»Éç»áĞÅÓÃ´úÂë,×¢²áºÅ,×éÖ¯»ú¹¹´úÂë,¹ÉÆ±´úÂë,Ê¡·İ,ÊĞ,Çø/ÏØ,¹«Ë¾ÀàĞÍ,ÆóÒµ±êÇ©,ĞĞÒµ,·¨¶¨´ú±íÈË,×¢²á×Ê±¾,×¢²áÊ±¼ä,ÓªÒµÆÚÏŞ×Ô,ÓªÒµÆÚÏŞÖÁ,ºË×¼»ú¹Ø,ºË×¼ÈÕÆÚ,¾­Óª·¶Î§,×¢²áµØÖ·,ÊÖ»úºÅ,µç»°,ÓÊÏä,¹«Ë¾ÍøÕ¾,ÆóÒµ×´Ì¬,ID
ÉÏº£ÃÀµÏÑÇÒ½ÔºÍ¶×Ê¼¯ÍÅÓĞÏŞ¹«Ë¾,2003,"91310000752468626B	","310112000421927	","752468626	","	","ÉÏº£ÊĞ	","ÊĞÏ½Çø	","ãÉĞĞÇø	","ÓĞÏŞÔğÈÎ¹«Ë¾;	","Ğ¡Î¢ÆóÒµ;	","ÉÌÎñ·şÎñÒµ	","³Â¹úĞË	","5000ÍòÈËÃñ±Ò	","2003-07-09	","2003-07-09	","2023-07-08	","ÉÏº£ÊĞ¹¤ÉÌ¾Ö	","2003-07-09	","Ò½ÔºÍ¶×Ê£¬»¯×±Æ·¡¢½¡ÉíÆ÷²Ä¡¢ÈÕÓÃ°Ù»õ¡¢Ò½ÁÆÆ÷Ğµ£¨ÏŞÒ»Àà£©µÄÏúÊÛ£¬ÆóÒµĞÎÏó²ß»®£¬Ò½Ôº¹ÜÀí£¬»áÎñ·şÎñ£¬¹ã¸æÉè¼ÆÓëÖÆ×÷£¬´ÓÊÂÉúÎï¿Æ¼¼ÁìÓòÄÚµÄ¼¼Êõ·şÎñ¡¢¼¼Êõ×ÉÑ¯¡¢¼¼Êõ¿ª·¢¡¢¼¼Êõ×ªÈÃ¡£¡¾ÒÀ·¨Ğë¾­Åú×¼µÄÏîÄ¿£¬¾­Ïà¹Ø²¿ÃÅÅú×¼ºó·½¿É¿ªÕ¹¾­Óª»î¶¯¡¿	","ÉÏº£ÊĞãÉĞĞÇøºçÃ·Â·2181ºÅ	","	","021-64051598	;		","120867796@qq.com	;		","	","´æĞø£¨ÔÚÓª¡¢¿ªÒµ¡¢ÔÚ²á£©	","584729755	"
ÒÕĞÇÒ½ÁÆÃÀÈİ¼¯ÍÅ¹É·İÓĞÏŞ¹«Ë¾,2009,"913301006945825188	","330100000101605	","694582518	","	","Õã½­Ê¡	","º¼ÖİÊĞ	","ÏÂ³ÇÇø	","¹É·İÓĞÏŞ¹«Ë¾;	","ÒÕĞÇÒ½ÁÆ;Í¶×Ê»ú¹¹;Ğ¡Î¢ÆóÒµ;	","ÉÌÎñ·şÎñÒµ	","³Â¹úĞË	","15600ÍòÈËÃñ±Ò	","2009-10-14	","2009-10-14	","9999-09-09	","º¼ÖİÊĞÊĞ³¡¼à¶½¹ÜÀí¾Ö	","2018-05-24	","·şÎñ£ºÒ½ÁÆÃÀÈİµÄ¹ÜÀí£¬Ò½ÔºĞĞÒµÍ¶×Ê£¬ÊµÒµÍ¶×Ê£¬»áÎñ·şÎñ£¬ÆóÒµĞÎÏó²ß»®£¬Ò½Ôº¹ÜÀí£¬Í¶×Ê×ÉÑ¯£¨³ıÖ¤È¯¡¢ÆÚ»õ£©£¬ÆóÒµ¹ÜÀí×ÉÑ¯£¬ÆóÒµÖØ×é¡¢¸ÄÖÆµÄ×ÉÑ¯£¬½ÓÊÜÆóÒµÎ¯ÍĞ´ÓÊÂ×Ê²ú¹ÜÀí£¬Åú·¢¡¢ÁãÊÛ£º»¯×±Æ·£»ÆäËûÎŞĞè±¨¾­ÉóÅúµÄÒ»ÇĞºÏ·¨ÏîÄ¿£»º¬ÏÂÊô·ÖÖ§»ú¹¹¾­Óª·¶Î§£»£¨Î´¾­½ğÈÚµÈ¼à¹Ü²¿ÃÅÅú×¼£¬²»µÃ´ÓÊÂÏò¹«ÖÚÈÚ×Ê´æ¿î¡¢ÈÚ×Êµ£±£¡¢´ú¿ÍÀí²ÆµÈ½ğÈÚ·şÎñ£©¡££¨ÒÀ·¨Ğë¾­Åú×¼µÄÏîÄ¿£¬¾­Ïà¹Ø²¿ÃÅÅú×¼ºó·½¿É¿ªÕ¹¾­Óª»î¶¯£©	","Õã½­Ê¡º¼ÖİÊĞÏÂ³ÇÇø»·³Ç±±Â·92ºÅ711ÊÒ	","	","021-62281992	;	0571-87293092	;	021-62950939	;		","	","yestar.tmall.com	;	www.yestar.com	;	yestar.tmall.com	;		","´æĞø	","3195667980	"
ÒÕĞÇÆóÒµ¹ÜÀíÓĞÏŞ¹«Ë¾,2017,"91654004MA77PXR47P	","	","MA77PXR47	","	","ĞÂ½®Î¬Îá¶û×ÔÖÎÇø	","ÒÁÀç¹şÈø¿Ë×ÔÖÎÖİ	","»ô¶û¹ûË¹ÊĞ	","ÓĞÏŞÔğÈÎ¹«Ë¾;	","Ğ¡Î¢ÆóÒµ;	","ÉÌÎñ·şÎñÒµ	","´÷ÔÆ¿­	","5000ÍòÈËÃñ±Ò	","2017-11-08	","2017-11-08	","9999-09-09	","Äş²¨ÊĞ±±ÂØÇøÊĞ³¡¼à¶½¹ÜÀí¾Ö	","2019-01-04	","ÆóÒµ¹ÜÀí·şÎñ¡££¨ÒÀ·¨Ğë¾­Åú×¼µÄÏîÄ¿£¬¾­Ïà¹Ø²¿ÃÅÅú×¼ºó·½¿É¿ªÕ¹¾­Óª»î¶¯£©	","Õã½­Ê¡Äş²¨ÊĞ±±ÂØÇøÃ·É½ÆßĞÇÂ·88ºÅ1´±401ÊÒBÇøM0551	","	","	","	","	","´æĞø	","3291432018	"
ºº¹úÆóÒµ¹ÜÀíÓĞÏŞ¹«Ë¾,2017,"91654004MA77Q4AR3Y	","	","MA77Q4AR3	","	","ĞÂ½®Î¬Îá¶û×ÔÖÎÇø	","ÒÁÀç¹şÈø¿Ë×ÔÖÎÖİ	","»ô¶û¹ûË¹ÊĞ	","ÓĞÏŞÔğÈÎ¹«Ë¾;	","Ğ¡Î¢ÆóÒµ;	","ÉÌÎñ·şÎñÒµ	","³Ì	","5000ÍòÈËÃñ±Ò	","2017-11-13	","2017-11-13	","9999-09-09	","Äş²¨ÊĞ±±ÂØÇøÊĞ³¡¼à¶½¹ÜÀí¾Ö	","2019-01-04	","ÆóÒµ¹ÜÀí·şÎñ¡££¨ÒÀ·¨Ğë¾­Åú×¼µÄÏîÄ¿£¬¾­Ïà¹Ø²¿ÃÅÅú×¼ºó·½¿É¿ªÕ¹¾­Óª»î¶¯£©	","Õã½­Ê¡Äş²¨ÊĞ±±ÂØÇøÃ·É½ÆßĞÇÂ·88ºÅ1´±401ÊÒBÇøM0552	","	","	","	","	","´æĞø	","3292377990	"
ÎäººÒÕĞÇÒ½ÁÆÃÀÈİÒ½ÔºÓĞÏŞ¹«Ë¾,2017,"91420103MA4KX3XX0W	","420103000411071	","MA4KX3XX0	","	","ºş±±Ê¡	","ÎäººÊĞ	","½­ººÇø	","ÓĞÏŞÔğÈÎ¹«Ë¾;	","Í¶×Ê»ú¹¹;	","ÎÀÉú	","¶ÅÌì»ª	","1000ÍòÈËÃñ±Ò	","2017-11-21	","2017-11-21	","	","ÎäººÊĞ½­ººÇø¹¤ÉÌĞĞÕş¹ÜÀí¾Ö£¨ÖÊÁ¿¼¼Êõ¼à¶½¾Ö£©	","2019-06-26	","Ò½ÁÆ·şÎñ;ÃÀÈİ·şÎñ£¨Éæ¼°Ğí¿É¾­ÓªÏîÄ¿£¬Ó¦È¡µÃÏà¹Ø²¿ÃÅĞí¿Éºó·½¿É¾­Óª£¬¾­Óª·¶Î§¡¢¾­ÓªÆÚÏŞÓëĞí¿ÉÖ¤ºË¶¨µÄÒ»ÖÂ£©£»»áÒé»áÕ¹·şÎñ£»Õ¹Ê¾Õ¹ÀÀ·şÎñ£¨ÒÀ·¨Ğë¾­ÉóÅúµÄÏîÄ¿£¬¾­Ïà¹Ø²¿ÃÅÉóÅúºó·½¿É¿ªÕ¹¾­Óª»î¶¯£©¡£	","ÎäººÊĞ½­ººÇøĞÂ»ªÂ·468ºÅÊ±´ú²Æ¸»ÖĞĞÄ1²ã£¨1-2£©¡¢1-4²ã£¨3£©¡¢5²ã£¨1¡¢6£©°ì	","	","027-85600017	;	027-88227966	;		","mail@yestargroup.com	;		","www.wuhanzx.com	;	whyestarmr.com	;	zxyestar.com	;	zryestar.com	;	wcyestar.com	;	jhzryy.com	;	whyestarzx.com	;	whzryy.com	;	whzxmryy.com	;	zxyywh.com	;		","´æĞø£¨ÔÚÓª¡¢¿ªÒµ¡¢ÔÚ²á£©	","3121389527	"
³É¶¼ÒÕĞÇÒ½ÁÆÃÀÈİÒ½ÔºÓĞÏŞ¹«Ë¾,2014,"91510105394014973C	","	","394014973	","	","ËÄ´¨Ê¡	","³É¶¼ÊĞ	","ÇàÑòÇø	","ÓĞÏŞÔğÈÎ¹«Ë¾;	","Í¶×Ê»ú¹¹;	","ÎÀÉú	","³ÂËïÎ÷	","1000ÍòÈËÃñ±Ò	","2014-09-16	","2014-09-15	","	","ÇàÑòÇøÊĞ³¡¼à¶½¹ÜÀí¾Ö	","2019-11-05	","Ò½ÁÆÃÀÈİ¿Æ£»ÃÀÈİÍâ¿Æ£»ÃÀÈİÑÀ¿Æ£»ÃÀÈİÆ¤·ô¿Æ£»ÃÀÈİÖĞÒ½¿Æ/Âé×í¿Æ/Ò½Ñ§¼ìÑé¿Æ¡¢ÁÙ´²ÌåÒº¡¢ÑªÒº×¨Òµ/Ò½Ñ§Ó°Ïñ¿Æ£»XÏßÕï¶Ï×¨Òµ£¬³¬ÉùÕï¶Ï×¨Òµ£»ĞÄµçÕï¶Ï×¨Òµ******¡££¨ÒÀ·¨Ğë¾­Åú×¼µÄÏîÄ¿£¬¾­Ïà¹Ø²¿ÃÅÅú×¼ºó·½¿É¿ªÕ¹¾­Óª»î¶¯£©¡£	","³É¶¼ÊĞÇàÑòÇø¶«ÃÅ½Ö95ºÅ	","18080908019	;	15080181290	;	15281042361	;		","028-61310000	;		","271344047@qq.com	;	000000@163.com	;	526292104@qq.com	;		","baidu.cdyestar.com	;	www.uyestar.com	;	www.vyestar.com	;	www.wyestar.com	;	www.xyestar.com	;	www.tyestar.com	;	www.pyestar.com	;	www.qyestar.com	;	www.ryestar.com	;		","´æĞø£¨ÔÚÓª¡¢¿ªÒµ¡¢ÔÚ²á£©	","3273994815	"
ÉÏº£ĞÇÂöÒ½ÁÆÆ÷ĞµÓĞÏŞ¹«Ë¾,2018,"91310230MA1K1ABQ2C	","310230001837680	","MA1K1ABQ2	","	","ÉÏº£ÊĞ	","ÊĞÏ½Çø	","³çÃ÷Çø	","ÓĞÏŞÔğÈÎ¹«Ë¾;	","Í¶×Ê»ú¹¹;Ğ¡Î¢ÆóÒµ;	","Åú·¢Òµ	","ÁõÎÄ½£	","1000ÍòÈËÃñ±Ò	","2018-07-19	","2018-07-19	","	","³çÃ÷ÇøÊĞ³¡¼à¹Ü¾Ö	","2018-07-19	","Ò½ÁÆÆ÷Ğµ¡¢½¡¿µ¡¢ĞÅÏ¢¿Æ¼¼ÁìÓòÄÚµÄ¼¼Êõ¿ª·¢¡¢¼¼Êõ×ªÈÃ¡¢¼¼Êõ×ÉÑ¯¡¢¼¼Êõ·şÎñ£¬ÆóÒµ¹ÜÀí×ÉÑ¯£¬ÓªÑø½¡¿µ×ÉÑ¯·şÎñ£¬»áÎñ·şÎñ£¬ÉÌÎñ×ÉÑ¯£¬ÊĞ³¡ÓªÏú²ß»®£¬Ò½ÁÆÆ÷Ğµ¡¢µç×Ó²úÆ·¡¢»¯×±Æ·¡¢°ì¹«ÓÃÆ·¡¢¹¤ÒÕÀñÆ·£¨ÏóÑÀ¼°ÆäÖÆÆ·³ıÍâ£©¡¢ÈÕÓÃ°Ù»õ¡¢·ş×°Ğ¬Ã±¡¢°ü×°²ÄÁÏ¡¢¼ÒÓÃµçÆ÷¡¢³ø·¿Éè±¸¡¢ÒÇÆ÷ÒÇ±í¡¢½¨²Ä¡¢¼ÆËã»ú¡¢Èí¼ş¼°¸¨ÖúÉè±¸¡¢Í¨ĞÅÉè±¸¡¢»·±£Éè±¸¡¢Õë·ÄÖ¯Æ·¡¢»¯¹¤²úÆ·¼°Ô­ÁÏ£¨³ıÎ£ÏÕ»¯Ñ§Æ·¡¢¼à¿Ø»¯Ñ§Æ·¡¢ÑÌ»¨±¬Öñ¡¢ÃñÓÃ±¬Õ¨ÎïÆ·¡¢Ò×ÖÆ¶¾»¯Ñ§Æ·£©¡¢ÌåÓıÓÃÆ·¡¢»úµçÉè±¸¡¢½ğÊô²ÄÁÏµÄÏúÊÛ£¬»úĞµÉè±¸Î¬ĞŞ£¬´ÓÊÂ»õÎïÓë¼¼ÊõµÄ½ø³ö¿ÚÒµÎñ¡£¡¾ÒÀ·¨Ğë¾­Åú×¼µÄÏîÄ¿£¬¾­Ïà¹Ø²¿ÃÅÅú×¼ºó·½¿É¿ªÕ¹¾­Óª»î¶¯¡¿	","ÉÏº£ÊĞ³çÃ÷ÇøĞÂºÓÕò±õ½­Â·78ºÅ13´±Ò»²ãA2ÊÒ	","13248012281	;		","	","	","	","´æĞø£¨ÔÚÓª¡¢¿ªÒµ¡¢ÔÚ²á£©	","3214368099	"
ÉîÛÚ¸ÛÁú¸¾²úÒ½Ôº,2015,"91440300359467213K	","440307114596204	","359467213	","	","¹ã¶«Ê¡	","ÉîÛÚÊĞ	","Áú¸ÚÇø	","ÓĞÏŞÔğÈÎ¹«Ë¾;	","	","ÎÀÉú	","ËïÎ³	","1000ÍòÈËÃñ±Ò	","2015-12-11	","2015-12-11	","	","ÉîÛÚÊĞÊĞ³¡¼à¶½¹ÜÀí¾Ö	","2018-05-30	","^Ô¤·À±£½¡¿Æ/ÄÚ¿Æ(ÃÅÕï)/Íâ¿Æ(¼×ÈéÍâ¿Æ×¨Òµ)/¸¾²ú¿Æ;¸¾¿Æ×¨Òµ;²ú¿Æ×¨Òµ;¼Æ»®ÉúÓı×¨Òµ;ÓÅÉúÑ§×¨Òµ;ÉúÖ³½¡¿µÓë²»ÔĞÖ¢×¨Òµ/¸¾Å®±£½¡¿Æ/¶ù¿Æ(¶ùÄÚ¿Æ);ĞÂÉú¶ù×¨Òµ/¶ùÍ¯±£½¡¿Æ/ÑÛ¿Æ(ÃÅÕï)/¶ú±ÇÑÊºí¿Æ/¿ÚÇ»¿Æ(ÃÅÕï)/Æ¤·ô¿Æ(ÃÅÕï)/Ò½ÁÆÃÀÈİ¿Æ;ÃÀÈİÍâ¿Æ;ÃÀÈİÆ¤·ô¿Æ/¼±ÕïÒ½Ñ§¿Æ(¼±ÕïÊÒ)/Âé×í¿Æ/Ò½Ñ§¼ìÑé¿Æ/²¡Àí¿Æ/Ò½Ñ§Ó°Ïñ¿Æ/ÖĞÒ½¿Æ;¸¾²ú¿Æ×¨Òµ¡£	","ÉîÛÚÊĞÁú¸ÚÇøÁú³Ç½ÖµÀÁú¸Ú´óµÀ£¨Áú¸Ú¶Î£©3012ºÅºê²ı´óÏÃA¶°¡¢B¶°1-5Â¥	","	","0755-85205555	;	0755-89566123	;		","276517441@qq.com	;		","www.szglyy.com	;	www.ganglong120.com	;	www.szglfck.com	;	www.szglby.com	;	y.nuomi.com	;	www.szglnk.com	;	www.ganglongyy.com	;	www.szglyy.com	;	www.szglby.com	;	www.szglfck.com	;	www.ganglong120.com	;	szganglongfcyy.com	;	szglyy120.com	;		","´æĞø£¨ÔÚÓª¡¢¿ªÒµ¡¢ÔÚ²á£©	","3088971485	"
±±¾©ÊĞÒÕĞÇ¹ú¼ÊÒ½Ñ§ÃÀÈİÑĞ¾¿Ôº,2010,"911101095530863345	","110105012755778	","553086334	","	","±±¾©ÊĞ	","ÊĞÏ½Çø	","ÃÅÍ·¹µÇø	","¼¯ÌåËùÓĞÖÆ;	","Ğ¡Î¢ÆóÒµ;	","ÑĞ¾¿ºÍÊÔÑé·¢Õ¹	","×¿ÄşÖ¾	","50ÍòÈËÃñ±Ò	","2010-04-08	","2010-04-08	","	","±±¾©ÊĞ¹¤ÉÌĞĞÕş¹ÜÀí¾ÖÃÅÍ·¹µ·Ö¾Ö	","2019-10-14	","Ò½Ñ§ÑĞ¾¿£»¼¼ÊõÍÆ¹ã·şÎñ£»¾­¼ÃÃ³Ò××ÉÑ¯£»ÊĞ³¡µ÷²é£»»áÒé¼°Õ¹ÀÀ·şÎñ£»ÆóÒµĞÎÏó²ß»®£»×éÖ¯ÎÄ»¯ÒÕÊõ½»Á÷»î¶¯£¨²»º¬Ñİ³ö£©¡££¨ÆóÒµÒÀ·¨×ÔÖ÷Ñ¡Ôñ¾­ÓªÏîÄ¿£¬¿ªÕ¹¾­Óª»î¶¯£»ÒÀ·¨Ğë¾­Åú×¼µÄÏîÄ¿£¬¾­Ïà¹Ø²¿ÃÅÅú×¼ºóÒÀÅú×¼µÄÄÚÈİ¿ªÕ¹¾­Óª»î¶¯£»²»µÃ´ÓÊÂ±¾ÊĞ²úÒµÕş²ß½ûÖ¹ºÍÏŞÖÆÀàÏîÄ¿µÄ¾­Óª»î¶¯¡££©	","±±¾©ÊĞÃÅÍ·¹µÇøÊ¯Áú¾­¼Ã¿ª·¢ÇøÓÀ°²Â·20ºÅ3´±B1-2591ÊÒ	","18911977678	;	13911708081	;		","	","838637016@qq.com	;	bjsyxgj@163.com	;		","	","¿ªÒµ	","2320589251	"
ÒÕĞÇÎÄ»¯´«²¥ÓĞÏŞ¹«Ë¾,2016,"91310112MA1GB51G4U	","310112001605362	","MA1GB51G4	","	","ÉÏº£ÊĞ	","ÊĞÏ½Çø	","·îÏÍÇø	","ÓĞÏŞÔğÈÎ¹«Ë¾;	","Í¶×Ê»ú¹¹;Ğ¡Î¢ÆóÒµ;	","ÎÄ»¯ÒÕÊõÒµ	","½­Òç	","5000ÍòÈËÃñ±Ò	","2016-01-26	","2016-01-26	","2036-01-25	","·îÏÍÇøÊĞ³¡¼à¹Ü¾Ö	","2016-01-26	","ÎÄ»¯ÒÕÊõ½»Á÷²ß»®£¬ÆóÒµĞÎÏó²ß»®£¬ÊĞ³¡ÓªÏú²ß»®£¬Í¼ÎÄÉè¼Æ¡¢ÖÆ×÷£¬ÉãÓ°·şÎñ£¬Õ¹ÀÀÕ¹Ê¾·şÎñ£¬»áÎñ·şÎñ£¬µç×ÓÉÌÎñ£¨²»µÃ´ÓÊÂ½ğÈÚÒµÎñ£©£¬ÊĞ³¡ĞÅÏ¢×ÉÑ¯Óëµ÷²é£¨²»µÃ´ÓÊÂÉç»áµ÷²é¡¢Éç»áµ÷ÑĞ¡¢ÃñÒâµ÷²é¡¢ÃñÒâ²âÑé£©£¬²ÆÎñ×ÉÑ¯£¬ÂÃÓÎ×ÉÑ¯£¬¼ÆËã»ú·şÎñ¡£¡¾ÒÀ·¨Ğë¾­Åú×¼µÄÏîÄ¿£¬¾­Ïà¹Ø²¿ÃÅÅú×¼ºó·½¿É¿ªÕ¹¾­Óª»î¶¯¡¿	","ÉÏº£ÊĞ·îÏÍÇø·îÆÖ¹¤ÒµÇø·îÆÖ´óµÀ111ºÅ4Â¥1496ÊÒ	","13127513699	;	18501762788	;		","	","1940868084@qq.com	;		","	","´æĞø£¨ÔÚÓª¡¢¿ªÒµ¡¢ÔÚ²á£©	","2415019971	"
