Company name (CN),Company name (EN),Province,Location,Registered capital (RMB),Registeration,Registeration - year,Status,Abnormality,Punishment,Lawsuit,Company website
重庆爱瑞阳光眼科医院管理有限公司,"Chongqing Airui Sunshine Eye Hospital Management Co., Ltd.",Chongqing,South-west,600,"2014-12-22	",2014,Living,0,0,0,"www.yangguangyanke.com	;	new.cqyg120.cn	;		"
无锡坤如玛丽医院集团有限公司,"Wuxi Kunru Mali Hospital Group Co.,Ltd.",Jiangsu,East,10000,"2006-04-10	",2006,Living,0,1,25,"www.wxmly.cn	;	www.wxmly.com	;	www.wxnzyy.com	;	www.wxmary.com	;	www.wuximly.com	;	www.wxmaliya.cn	;	www.wxmly.cn	;	www.wxkrml.com	;	www.wxkrml.cn	;	www.wxkrmly.com	;	www.0510huchou.com	;	0510yechou.com	;		"
上海博爱医院管理股份有限公司,"Shanghai Pok Oi Hospital Management Co.,Ltd.",Shanghai,East,3000,"2001-08-03	",2001,Living,5,0,0,"	"
上海圣爱医院管理有限公司,"Shanghai Sheng'ai Hospital Management Co.,Ltd.",Shanghai,East,100,"2004-02-25	",2004,Living,0,0,0,"	"
四川长征医院投资管理有限公司,"Sichuan Changzheng Hospital Co.,Ltd.",Sichuan,South-west,500,"2002-07-09	",2002,Living,1,0,0,"	"
深圳博爱医院,Shenzhen Bo'ai Hospital,Guangdong,South,6500,"2016-04-22	",2016,Living,0,3,29,"www.boai.com	;	www.ilongxiong.com	;	www.boaiyimei.com	;	www.boai.com	;	www.szboai.com.cn	;	www.tobemama.com	;	tobemama.cn	;	tobemama.net	;	tobemam.com.cn	;		"
北京瑞京糖尿病医院有限责任公司,"Beijing Ruijing Diabetes Hospital Co., Ltd.",Beijing,North,2000,"2008-12-01	",2008,Living,0,5,13,"www.rj114.net	;	www.tnbyy.net	;	www.tnbrj.com	;	www.bjtnb.net	;	www.bjrjyy.net	;	www.banting1114.com	;		"
广州现代医院有限责任公司,"Guangzhou Modern Hospital Co., Ltd.",Guangdong,South,5900,"2015-01-23	",2015,Living,0,0,11,"www.ca120.com	;	www.gl69.com	;	www.gzxdzl.com	;	www.gzxd120.com	;	www.zhongliu020.com	;	www.jieru020.com	;	www.hnzhongliu.com	;	www.gzxdfk.com	;	www.modern120.com	;	www.gdmei120.com	;	www.mei120.com.cn	;	www.gzfkw120.com	;	www.xiandaihospital.com	;	www.gzxdzlyy.com	;	www.020zhongliu.com	;	www.modernhospitalchina.com	;	www.xd921.com	;	www.ruxianai120.net	;	www.gzxdyy.com	;	www.22221111.com	;		"
莆田市盛兴医院投资有限公司,"Putian Shengxing Hospital Investment Co.,Ltd.",Fujian,South,6800,"2005-07-20	",2005,Living,0,1,4,"www.ptsxyy.com.cn	;		"
广东省瑞莱克斯国际医疗美容医院有限公司,Guangzhou Yuandong Hairdressing Hospital,Guangdong,South,5000,"2014-04-29	",2014,Living,0,1,0,"	"
深圳颐安妇产医院,Shenzhen Yi'an Maternity Hospital,Guangdong,South,4000,"2010-07-29	",2010,Living,0,0,14,"www.hm91.com	;		"
深圳博爱曙光医院,Shenzhen Boai Shuguang Hospital,Guangdong,South,4000,"2016-03-31	",2016,Living,0,2,6,"www.barl120.com	;	www.sgsm160.com	;	www.szsgsm.com	;	www.shenzhenfukeyiyuan.com	;	www.sg91.net	;	www.sgyy16.com	;	www.szshuguang.com	;	www.999daohang.com	;	www.szsgyy.com	;	www.shuguang160.com	;	www.sgyy160.com	;	www.cqqiyejia.com	;	www.blinkpush.com	;	yuandayidu.com	;	shenzhennankeyiyuan.com	;	shenzhentijian.com	;	szsgyy120.com	;	szsgyy16.com	;	yuandongyidu.com	;	shenzhensanfutie.com	;	shenzhenzhongzhiya.com	;		"
无锡新区凤凰医院有限责任公司,Wuxi New Area Fenghuang Hospital,Jiangsu,East,4400,"2005-07-12	",2005,Living,0,3,45,"www.wndhospital.com	;	www.wxfhyy.com	;		"
东莞东方医院有限公司,"Dongguan Oriental Hospital Co., Ltd.",Guangdong,South,3000,"2016-05-27	",2016,Living,0,2,0,"www.dgmnyy.cn	;	www.dgmnyy.com	;	www.dgzaoxie.com	;	www.dfminiao.com	;	www.22339166.cn	;	www.dfmnyy.cn	;	www.liangxingyisheng.com	;	www.dfmngw.com	;	www.22339166.com	;	www.dfminiao.cn	;	www.dgzaoxie.cn	;	www.dgnxyy.cn	;	www.wtrl.net	;	www.dgnxyy.com	;	www.chinananke.com	;	www.dfnanke.cn	;	www.baopixx.com	;	www.dgdfyygck.com	;	dgdfyy.com	;	27285999.com	;	dgmnjs.com	;	dfmnyy.net	;	27285199.com	;	dgnkjb.com	;	dfminiao.net	;	dgzaoxie.net	;	dgnxyy.net	;	dgjsyy.com	;	dgnryy.com	;	dgdfmn.com	;		"
